AGN,Allergan Inc. Common ,11.5778
BIIB,Biogen Idec Inc. ,14.6292
WAT,Waters Corporation Common ,15.4433
APH,Amphenol Corporation Common Sto ,18.9974
BMY,Bristol-Myers Squibb Company Co ,19.6522
MDT,Medtronic Inc. Common ,19.7248
ZTS,Zoetis Inc. ,20.7766
ENDP,Endo Health Solutions Inc. ,21.1491
JNJ,Johnson & Johnson Common ,21.1641
CELG,Celgene Corporation ,21.5449
ABC,AmerisourceBergen Corporation ( ,21.6924
MON,Monsanto Company Common ,21.7916
VRTX,Vertex Pharmaceuticals Incorpor ,22.0235
ABT,Abbott Laboratories Common Stoc ,22.0553
BSX,Boston Scientific Corporation C ,22.0559
FDO,Family Dollar Stores Inc. Comm ,22.302
WFM, Whole Foods Market  Inc. ,22.3244
XRAY,DENTSPLY International Inc. ,22.4407
MCK,McKesson Corporation Common Sto ,22.4422
CRM,Salesforce.com Inc Common ,22.8111
ALXN,Alexion Pharmaceuticals Inc. ,22.9397
AMGN,Amgen Inc. ,23.131
WHR,Whirlpool Corporation Common St ,23.2268
THC,Tenet Healthcare Corporation Co ,23.4028
TMO,Thermo Fisher Scientific Inc Co ,23.7414
ITW,Illinois Tool Works Inc. Common ,23.9608
CAH,Cardinal Health Inc. Common St ,24.0229
APD,Air Products and Chemicals Inc ,24.1392
BBY,Best Buy Co. Inc. Common ,24.3448
MAS,Masco Corporation Common ,24.4122
TEL,TE Connectivity Ltd. New Switze ,24.6432
AVGO,Avago Technologies Limited ,24.7766
RTN,Raytheon Company Common ,24.9652
MHK,Mohawk Industries Inc. Common  ,25.239
LRCX,Lam Research Corporation ,25.3414
KR,Kroger Company (The) Common Sto ,25.5818
CCL,Carnival Corporation Common Sto ,25.6977
ADI,Analog Devices Inc. ,25.7272
SWKS,Skyworks Solutions Inc. ,25.8564
XLNX,Xilinx Inc. ,25.9435
ROST,Ross Stores Inc. ,25.9795
SEE,Sealed Air Corporation Common S ,26.0077
A,Agilent Technologies Inc. Comm ,26.471
STJ,St. Jude Medical Inc. Common S ,26.6288
EA, Electronic Arts Inc. ,26.6672
GILD,Gilead Sciences Inc. ,27.1048
TSCO,Tractor Supply Company ,27.1498
CLX,Clorox Company (The) Common Sto ,27.1584
CI,Cigna Corporation Common ,27.1622
BA,Boeing Company (The) Common Sto ,27.2307
ABBV,AbbVie Inc. ,27.2649
PX,Praxair Inc. Common ,27.3867
REGN,Regeneron Pharmaceuticals Inc. ,27.6288
MCHP,Microchip Technology Incorporat ,27.9096
GME,Gamestop Corporation Common Sto ,27.9533
CSC,Computer Sciences Corporation C ,28.0078
FLIR,FLIR Systems Inc. ,28.2019
KLAC,KLA-Tencor Corporation ,28.3299
CMI,Cummins Inc. Common ,28.4476
MHFI,McGraw Hill Financial Inc. ,28.5561
ESRX,Express Scripts Holding Company ,28.6177
LNC,Lincoln National Corporation Co ,28.7389
ED,Consolidated Edison Inc. Commo ,28.7996
TJX,TJX Companies Inc. (The) Commo ,28.8733
SPY,SPDR S&P 500 ETF,28.9323
LEN,Lennar Corporation Class A Comm ,28.9594
UNH,UnitedHealth Group Incorporated ,29.0382
TXN,Texas Instruments Incorporated ,29.0965
MRK,Merck & Company Inc. Common St ,29.1486
DG,Dollar General Corporation Comm ,29.2946
LEG,Leggett & Platt Incorporated C ,29.3605
M,Macy's Inc Common ,29.5027
BDX,Becton Dickinson and Company C ,29.5038
MCD,McDonald's Corporation Common S ,29.5357
DHI,D.R. Horton Inc. Common ,29.5618
LLTC,Linear Technology Corporation ,29.6139
PRU,Prudential Financial Inc. Comm ,29.7144
WYN,Wyndham Worldwide Corp Common   ,29.8363
FAST,Fastenal Company ,29.8436
AMAT,Applied Materials Inc. ,29.8751
PRGO,Perrigo Company ,29.9726
