AAN,Aaron's Inc. Common 
ACAT,Arctic Cat Inc. 
ADAT,Authentidate Holding Corp. 
AFCB,Athens Bancshares Corporation 
ALGT,Allegiant Travel Company 
AN,AutoNation Inc. Common 
AON,Aon plc Class A Ordinary Shares 
AP,Ampco-Pittsburgh Corporation Co 
AWI,Armstrong World Industries Inc  
AXL,American Axle & Manufacturing H 
B,Barnes Group Inc. Common 
BBGI,Beasley Broadcast Group Inc. 
BFIN,BankFinancial Corporation 
BFS,Saul Centers Inc. Common 
CACC,Credit Acceptance Corporation 
CGI,Celadon Group Inc. Common Stoc 
CHSP,Chesapeake Lodging Trust Common 
CI,Cigna Corporation Common 
CIR,CIRCOR International Inc. Comm 
CKH,SEACOR Holdings Inc. Common Sto 
COG,Cabot Oil & Gas Corporation Com 
CPLP,Capital Product Partners L.P. 
CPN,Calpine Corporation Common Stoc 
CTS,CTS Corporation Common 
CVX,Chevron Corporation Common Stoc 
DRQ,Dril-Quip Inc. Common 
EML,Eastern Company (The) 
EXAM,ExamWorks Group Inc. Common St 
EXC,Exelon Corporation Common 
EZPW,EZCORP Inc. 
FEIC,FEI Company 
FNFG,First Niagara Financial Group I 
GHM,Graham Corporation Common 
ISNS,Image Sensing Systems Inc. 
KBR,KBR Inc. Common 
KRNY,Kearny Financial 
LPNT,LifePoint Hospitals Inc. 
LXK,Lexmark International Inc. Com 
LYB,LyondellBasell Industries NV Or 
MBRG,Middleburg Financial Corporatio 
MGI,Moneygram International Inc. N 
MGLN,Magellan Health Services Inc. 
MNDO,MIND C.T.I. Ltd. 
MNOV,MediciNova Inc. 
MOFG,MidWestOne Financial Group Inc 
MOSY,MoSys Inc. 
MRK,Merck & Company Inc. Common St 
NRIM,Northrim BanCorp Inc 
NWL,Newell Rubbermaid Inc. Common S 
OFC,Corporate Office Properties Tru 
OPY,Oppenheimer Holdings Inc. Clas 
ORIT,Oritani Financial Corp. 
OSTK,Overstock.com Inc. 
PEG,Public Service Enterprise Group 
PFS,Provident Financial Services I 
PNM,PNM Resources Inc. (Holding Co 
REV,Revlon Inc. New Common 
RUTH,Ruth's Hospitality Group Inc. 
SAIA,Saia Inc. 
SBSI,Southside Bancshares Inc. 
SENEA,Seneca Foods Corp. 
SHEN,Shenandoah Telecommunications C 
SMP,Standard Motor Products Inc. C 
SMTX,SMTC Corporation 
SQI,SciQuest Inc. 
SWC,Stillwater Mining Company Commo 
TBNK,Territorial Bancorp Inc. 
TDS,Telephone and Data Systems Inc 
TEN,Tenneco Inc. Common 
THLD,Threshold Pharmaceuticals Inc. 
TORM,TOR Minerals International Inc 
TYC,Tyco International Ltd. (Switz 
UPS,United Parcel Service Inc. Com 
UQM,UQM TECHNOLOGIES INC Common Sto 
VICL,Vical Incorporated 
VRTS,Virtus Investment Partners Inc 
VTR,Ventas Inc. Common 
WG,Willbros Group Inc. (DE) Commo 
WLFC,Willis Lease Finance Corporatio 
WMS,WMS Industries Inc. Common Stoc 
XOM,Exxon Mobil Corporation Common  
XRX,Xerox Corporation Common 
ACHC, Acadia Healthcare Company  Inc. 
ASBB, ASB Bancorp  Inc. 
BLMN, Bloomin' Brands  Inc. 
FOR, Forestar Group Inc Common 
GVA, Granite Construction Incorporat 
HFBC, HopFed Bancorp  Inc. 
HHS, Harte-Hanks  Inc. Common 
HNH, Handy & Harman Ltd. 
HSKA, Heska Corporation 
HST, Host Hotels & Resorts  Inc. Com 
HTCH, Hutchinson Technology Incorpora 
HWKN, Hawkins  Inc. 
NLNK, NewLink Genetics Corporation 
PSX, Phillips 66 Common 
SAVE, Spirit Airlines  Inc. 
SSFN, Stewardship Financial Corp 
WEBK, Wellesley Bancorp  Inc. 
WETF, WisdomTree Investments  Inc. 
AMLP,ALPS Alerian MLP ETF
SCTY,SolarCity Corporation 
PSXP,Phillips 66 Partners LP 
PBF,PBF Energy Inc. 
ESXB,Community Bankers Trust Corporation 
DRII,Diamond Resorts International Inc. 
CQH,Cheniere Energy Partners LP Holdings LLC 
COB,CommunityOne Bancorp 
ADHD,Alcobra Ltd. 
WBAI,500.com Limited 
ARCB,ArcBest Corporation 
NWHM,The New Home Company LLC 
SMLR,Semler Scientific Inc 
FELP,Foresight Energy LP Common Unit
IRMD,iRadimed Corporation
PBFX,PBF Logistics LP Common Units r
CARO,Carolina Financial Corporation
ABY,Abengoa Yield plc
XBIT,XBiotech  Inc.
PJT,PJT Partners Inc.
TVIA,TerraVia Holdings  Inc.
