CCG,Campus Crest Communities Inc.  
BBSI,Barrett Business Services Inc. 
CVO,Cenveo Inc 
AMRI,Albany Molecular Research Inc. 
LNCE,Snyder's-Lance Inc. 
MDGN, Medgenics  Inc. Common 
EROS,Eros International Plc 
PTIE,Pain Therapeutics 
QIHU, Qihoo 360 Technology Co. Ltd. A 
TNH,Terra Nitrogen Company L.P. Co 
ZPIN,Zhaopin Limited American Deposi
AMTG, Apollo Residential Mortgage  In 
AXLL,Axiall Corporation 
DORM,Dorman Products Inc. 
ETRM,EnteroMedics Inc. 
GWGH,GWG Holdings Inc
NHLD,NATIONAL HOLDINGS
OIS,Oil States International Inc.  
OFLX,Omega Flex Inc. 
REXX, Rex Energy Corporation 
XBKS, Xenith Bankshares  Inc. 
ALB,Albemarle Corporation Common St 
AIMC,Altra Holdings Inc. 
ADI,Analog Devices Inc. 
ARRS,Arris Group Inc 
ATRO,Astronics Corporation 
ATHM,Autohome Inc. 
BEAT,CardioNet Inc. 
BXC,Bluelinx Holdings Inc. Common S 
BRCD,Brocade Communications Systems 
CRC,Chromcraft Revington Inc. Comm 
CLMT,Calumet Specialty Products Part 
CSLT,Castlight Health Inc. 
FUN,Cedar Fair L.P. Common 
CF,CF Industries Holdings Inc. Co 
CHE,Chemed Corp 
CLD,Cloud Peak Energy Inc Common St 
CBMX,CombiMatrix Corporation 
CNNX,Cone Midstream Partners LP Comm
CPA,Copa Holdings S.A. Copa Holdin 
CYRN,CYREN Ltd. 
DENN,Denny's Corporation 
DPS,Dr Pepper Snapple Group Inc Dr 
DX,Dynex Capital Inc. Common Stoc 
ELNK,EarthLink Inc. 
EIG,Employers Holdings Inc Common S 
EEP,Enbridge Energy L.P. Class A C 
ENLC,EnLink Midstream LLC 
ENLK,EnLink Midstream Partners LP 
ENZY,Enzymotec Ltd. 
EVTC,EVERTEC Inc. 
DAVE,Famous Dave's of America Inc. 
GCI,Gannett Co. Inc. Common 
GEO,Geo Group Inc (The) Common Stoc 
GILT,Gilat Satellite Networks Ltd. 
GOOD,Gladstone Commercial Corporatio 
GLOB,Globant S.A. Common Shares
GDDY,GoDaddy Inc.
LOPE,Grand Canyon Education Inc. 
HTS, Hatteras Financial Corp Hattera 
HOS, Hornbeck Offshore Services Comm 
HY, Hyster-Yale Materials Handling  
IMAX, Imax Corporation Common 
IRC,Inland Real Estate Corporation  
IPAS,iPass Inc. 
ITRI,Itron Inc. 
JACK,Jack In The Box Inc. 
JRVR,James River Group Holdings Ltd
KAR,KAR Auction Services Inc Commo 
KEG,Key Energy Services Inc. Commo 
LZB,La-Z-Boy Incorporated Common St 
LSCC,Lattice Semiconductor Corporati 
CLI,Mack-Cali Realty Corporation Co 
MX, MagnaChip Semiconductor Corpora 
MAR,Marriot International Common St 
MTRN, Materion Corporation 
MDCO,The Medicines Company 
MORN, Morningstar  Inc. 
NM,Navios Maritime Holdings Inc. C 
NTAP,NetApp Inc. 
NEM,Newmont Mining Corporation (Hol 
NBL,Noble Energy Inc. Common 
NVMI,Nova Measuring Instruments Ltd. 
NVDA,NVIDIA Corporation 
ASGN,On Assignment Inc. 
OGS,ONE Gas  Inc. Common Stock 
PKD,Parker Drilling Company Common  
PDCO,Patterson Companies Inc. 
PES, Pioneer Energy Services Corp. C 
PCLN,priceline.com Incorporated 
PGR,Progressive Corporation (The) C 
PWR,Quanta Services Inc. Common St 
STR,Questar Corporation Common Stoc 
QDEL,Quidel Corporation 
SAJA,Sajan Inc.
SPNS,Sapiens International Corporati 
SHOP,Shopify Inc.
SCKT,Socket Mobile Inc. 
SSS,Sovran Self Storage Inc. Commo 
SEMI,SunEdison Semiconductor Limited
SPWR, SunPower Corporation 
SPRT,support.com Inc. 
SNPS,Synopsys Inc. 
TMUS,T-Mobile US Inc. 
TEGP,Tallgrass Energy GP  LP
TEP,Tallgrass Energy Partners LP 
TRMR,Tremor Video Inc. 
TYL,Tyler Technologies Inc. Common 
UIHC,United Insurance Holdings Corp. 
UNTD,United Online Inc. 
VMI,Valmont Industries Inc. Common 
VIP,VimpelCom Ltd 
WCIC,WCI Communities Inc. 
WST,West Pharmaceutical Services I 
WMB,Williams Companies Inc. (The)  
WPZ,Williams Partners L.P. Common U 
XNCR,Xencor Inc. 
XNPT,XenoPort Inc. 
CIM,Chimera Investment Corporation  
SSE,Seventy Seven Energy Inc. Commo
ADAT,Authentidate Holding Corp. 
FELP,Foresight Energy LP Common Unit
BLMN, Bloomin' Brands  Inc. 
EQC,Equity Commonwealth Common Shar
AJRD,Aerojet Rocketdyne Holdings  Inc.
EPAM, EPAM Systems  Inc. Common 
JIVE, Jive Software  Inc. 
LINE,Linn Energy LLC 
