AAON,AAON Inc. 
REGI, Renewable Energy Group  Inc. 
RLJ, RLJ Lodging Trust Common Shares 
RXN, Rexnord Corporation Common Stoc 
SLRC, Solar Capital Ltd. 
SRC, Spirit Realty Capital  Inc. Com 
SUNS, Solar Senior Capital Ltd. 
TCAP, Triangle Capital Corporation Co 
THR, Thermon Group Holdings  Inc. Co 
TROX, Tronox Limited Ordinary Shares  
WFM, Whole Foods Market  Inc. 
WMC, Western Asset Mortgage Capital  
XOXO, XO Group  Inc. Common 
YELP, Yelp Inc. Class A Common 
ZNGA, Zynga Inc. 
TXMD,TherapeuticsMD Inc. 
TTPH,Tetraphase Pharmaceuticals Inc. 
TMHC,Taylor Morrison Home Corporation 
SBY,Silver Bay Realty Trust Corp. 
REXR,Rexford Industrial Realty Inc. 
PLPM,Planet Payment Inc. 
PAGP,Plains GP Holdings L.P. 
OCRX,Ocera Therapeutics Inc. 
OCIP,OCI Partners LP 
NSTG,NanoString Technologies Inc. 
NRZ,New Residential Investment Corp. 
MGNX,MacroGenics Inc. 
KODK,Eastman Kodak Co. 
KNOP,KNOT Offshore Partners LP 
JONE,Jones Energy Inc. 
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc. 
HIIQ,Health Insurance Innovations Inc. 
GPT,Gramercy Property Trust Inc. 
FOXF,Fox Factory Holding Corp 
FOXA,Twenty-First Century Fox Inc. 
FMI,Foundation Medicine Inc. 
FATE,Fate Therapeutics Inc. 
ESRT,Empire State Realty Trust Inc. 
DOC,Physicians Realty Trust 
CRTO,Criteo SA 
CQH,Cheniere Energy Partners LP Holdings LLC 
CNAT,Conatus Pharmaceuticals Inc. 
BPY,Brookfield Property Partners L.P. 
BLUE,bluebird bio Inc. 
ASC,Ardmore Shipping Corporation 
AHP,Ashford Hospitality Prime Inc. 
AERI,Aerie Pharmaceuticals Inc. 
VOYA,ING U.S. Inc. 
XNCR,Xencor Inc. 
ZTS,Zoetis Inc. 
CSLT,Castlight Health Inc. 
EBIO,Eleven Biotherapeutics Inc. 
EMES,Emerge Energy Services LP 
ENBL,Enable Midstream Partners LP 
FRSH,Papa Murphy's Holdings Inc. 
GARS,Garrison Capital Inc. 
GHC,Graham Holdings 
HIVE,Aerohive Networks Inc. 
KATE,Kate Spade & Company 
MRVC,MRV Communications Inc. 
NGHC,National General Holdings Corp. 
QTWO,Q2 Holdings Inc. 
RUBI,the Rubicon Project Inc. 
SABR,Sabre Corporation 
SP,SP Plus Corporation 
CDK,CDK Global Inc.
CTRE,CareTrust REIT Inc.
DNOW,NOW Inc. Common
DPLO,Diplomat Pharmacy Inc. Common
EFOI,Energy Focus Inc.
EYES,Second Sight Medical Products
HABT,The Habit Restaurants Inc.
HYH,Halyard Health Inc. Common Sto
JRVR,James River Group Holdings Ltd
KE,Kimball Electronics Inc.
KTWO,K2M Group Holdings Inc.
LOXO,Loxo Oncology Inc.
PARN,Parnell Pharmaceuticals Holding
PARR,Par Petroleum Corporation.  Com
PE,Parsley Energy Inc. Class A Co
PGRE,Paramount Group Inc. Common St
PRAH,PRA Health Sciences Inc.
PRTK,Paratek Pharmaceuticals Inc. 
RMP,Rice Midstream Partners LP Comm
RYI,Ryerson Holding Corporation Com
SLCT,Select Bancorp Inc.
SNR,New Senior Investment Group Inc
USDP,USD Partners LP Common Units re
VA,Virgin America Inc.
XENT,Intersect ENT Inc.
BEL,Belmond Ltd. Class A Common Sto
BABA,Alibaba Group Holding Limited A
ANTM,Anthem Inc. Common
AFMD,Affimed N.V.
INOV,Inovalon Holdings Inc.
FLKS,Flex Pharma Inc.
CPSH,CPS TECHNOLOGIES CP
CPPL,Columbia Pipeline Partners LP C
SUM,SUMMIT MATERIALS INC.
UE,Urban Edge Properties Common Sh
NVLS,Nivalis Therapeutics  Inc.
NVIV,InVivo Therapeutics Holdings Corp.
NSA,National Storage Affiliates
HZN,Horizon Global Corporation
GPP,Green Plains Partners LP
GDDY,GoDaddy Inc.
FIT,Fitbit Inc.
BW,Babcock & Wilcox Enterprises  Inc.
AXON,Axovant Sciences Ltd.
SHOP,Shopify Inc.
SXCL,Steel Excel Inc.
TGNA,TEGNA Inc.
AIMT,Aimmune Therapeutics
NVCR,NovoCure Limited
VER,VEREIT  Inc.
IAC,IAC/InterActiveCorp
MFIN,Medallion Financial Corp.
NOVT,Novanta Inc.
TVIA,TerraVia Holdings  Inc.
GEMP,Gemphire Therapeutics Inc.
NBLX,Noble Midstream Partners LP 
