ABT,Abbott Laboratories Common Stoc 
APH,Amphenol Corporation Common Sto 
AROW,Arrow Financial Corporation 
AXP,American Express Company Common 
BABY,Natus Medical Incorporated 
BDN,Brandywine Realty Trust Common  
BPFH,Boston Private Financial Holdin 
BRKL,Brookline Bancorp Inc. 
BSRR,Sierra Bancorp 
BXS,BancorpSouth Inc. Common 
CATY,Cathay General Bancorp 
CBU,Community Bank System Inc. Com 
CCK,Crown Holdings Inc. 
CCNE,CNB Financial Corporation 
CFNL,Cardinal Financial Corporation 
CLB,Core Laboratories N.V. Common S 
CMRE,Costamare Inc. Common 
CNS,Cohn & Steers Inc Common 
CSFL,CenterState Banks Inc. 
CTBI,Community Trust Bancorp Inc. 
CVBF,CVB Financial Corporation 
CVLY,Codorus Valley Bancorp Inc 
CVO,Cenveo Inc 
DLB,Dolby Laboratories Common 
DWCH,Datawatch Corporation 
EBAY,eBay Inc. 
EDU,New Oriental Education & Techno 
EGBN,Eagle Bancorp Inc. 
EGP,EastGroup Properties Inc. Comm 
ELOS,Syneron Medical Ltd. 
ESBK,Elmira Savings Bank NY (The) 
EVR,Evercore Partners Inc Class A C 
EWBC,East West Bancorp Inc. 
FCFS,First Cash Financial Services  
FFIV,F5 Networks Inc. 
FFKT,Farmers Capital Bank Corporatio 
FNF,Fidelity National Financial In 
FNLC,First Bancorp Inc (ME) 
FTI,FMC Technologies Inc. Common S 
FTK,Flotek Industries Inc. Common  
GGG,Graco Inc. Common 
GSBC,Great Southern Bancorp Inc. 
ITW,Illinois Tool Works Inc. Common 
JAKK,JAKKS Pacific Inc. 
LBAI,Lakeland Bancorp Inc. 
LHO,LaSalle Hotel Properties Common 
LSTR,Landstar System Inc. 
MAT,Mattel Inc. 
MBFI,MB Financial Inc. 
MCRI,Monarch Casino & Resort Inc. 
MDSO,Medidata Solutions Inc. 
MGYR,Magyar Bancorp Inc. 
MLI,Mueller Industries Inc. Common 
MLNX,Mellanox Technologies Ltd. 
MOSY,MoSys Inc. 
MPB,Mid Penn Bancorp 
MS,Morgan Stanley Common 
MSA,Mine Safety Appliances Company  
MSFG,MainSource Financial Group Inc 
MTB,M&T Bank Corporation Common Sto 
NFBK,Northfield Bancorp Inc. 
NTRS,Northern Trust Corporation 
NVEC,NVE Corporation 
NWFL,Norwood Financial Corp. 
OFLX,Omega Flex Inc. 
ORRF,Orrstown Financial Services Inc 
OVLY,Oak Valley Bancorp (CA) 
PCBK,Pacific Continental Corporation 
PFBC,Preferred Bank 
PKG,Packaging Corporation of Americ 
PLXS,Plexus Corp. 
PPBI,Pacific Premier Bancorp Inc 
PWOD,Penns Woods Bancorp Inc. 
QCOM,QUALCOMM Incorporated 
QCRH,QCR Holdings Inc. 
RBPAA,Royal Bancshares of Pennsylvani 
RCKY,Rocky Brands Inc. 
RELL,Richardson Electronics Ltd. 
RJF,Raymond James Financial Inc. C 
SBNY,Signature Bank 
SCL,Stepan Company Common 
SCSS,Select Comfort Corporation 
SFNC,Simmons First National Corporat 
SLG,SL Green Realty Corporation Com 
SLM,SLM Corporation 
SPNS,Sapiens International Corporati 
STJ,St. Jude Medical Inc. Common S 
TBI,TrueBlue Inc. Common 
TCBI,Texas Capital Bancshares Inc. 
TEL,TE Connectivity Ltd. New Switze 
TSCO,Tractor Supply Company 
TUP,Tupperware Brands Corporation C 
TZOO,Travelzoo Inc. 
UFI,Unifi Inc. New Common 
UFPI,Universal Forest Products Inc. 
UMPQ,Umpqua Holdings Corporation 
URI,United Rentals Inc. Common Sto 
VALU,Value Line Inc. 
VMI,Valmont Industries Inc. Common 
WBC,Wabco Holdings Inc. Common Stoc 
WBS,Webster Financial Corporation C 
ZHNE,Zhone Technologies Inc. 
BKU, BankUnited  Inc. Common 
CIZN, Citizens Holding Company 
FBNK, First Connecticut Bancorp  Inc. 
FSBK, First South Bancorp Inc 
HAL, Halliburton Company Common Stoc 
HXL, Hexcel Corporation Common 
IMAX, Imax Corporation Common 
KMI, Kinder Morgan  Inc. Common Stoc 
SIFY, Sify Technologies Limited 
TSC,Tristate Capital Holdings Inc. 
TCFC,The Community Financial Corp. 
PTC,PTC Inc. 
HMNF,HMN Financial Inc. 
FCCO,First Community Corporation 
WFBI,WashingtonFirst Bankshares Inc. 
PFIS,Peoples Financial Services Corp. 
TRCB,Two River Bancorp 
BHBK,Blue Hills Bancorp Inc.
ICBK,County Bancorp Inc.
CHEK,Check-Cap Ltd.
LSBG,Lake Sunapee Bank Group
ESND,Essendant Inc.
BKFS,Black Knight Financial Services  Inc.
TACO,Del Taco Restaurants  Inc.
SCNB,Suffolk Bancorp
