ACAT,Arctic Cat Inc. 
AEL,American Equity Investment Life 
AHL,Aspen Insurance Holdings Limite 
ALK,Alaska Air Group Inc. Common S 
AOSL,Alpha and Omega Semiconductor L 
ASFI,Asta Funding Inc. 
ASTC,Astrotech Corporation 
AVNW,Aviat Networks Inc. 
BCO,Brinks Company (The) Common Sto 
BGC,General Cable Corporation Commo 
BHE,Benchmark Electronics Inc. Com 
BKD,Brookdale Senior Living Inc. Co 
BLKB,Blackbaud Inc. 
BR,Broadridge Financial Solutions 
BVSN,BroadVision Inc. 
CARV,Carver Bancorp Inc. 
CCUR,Concurrent Computer Corporation 
CDE,Coeur d'Alene Mines Corporation 
CINF,Cincinnati Financial Corporatio 
CLW,Clearwater Paper Corporation Co 
CMP,Compass Minerals Intl Inc Commo 
CRAY,Cray Inc 
CTL,CenturyLink Inc. Common 
CTSH,Cognizant Technology Solutions  
CYS,CYS Investments Inc. Common St 
DJCO,Daily Journal Corp. (S.C.) 
DNB,Dun & Bradstreet Corporation (T 
ECHO,Echo Global Logistics Inc. 
EEFT,Euronet Worldwide Inc. 
EFX,Equifax Inc. Common 
EXC,Exelon Corporation Common 
FBSS,Fauquier Bankshares Inc. 
FISV,Fiserv Inc. 
FLOW,Flow International Corporation 
FLT,FleetCor Technologies Inc. Com 
FONR,Fonar Corporation 
FORM,FormFactor Inc. 
FORR,Forrester Research Inc. 
GENC,Gencor Industries Inc. 
GLAD,Gladstone Capital Corporation 
GLUU,Glu Mobile Inc. 
GPRE,Green Plains Renewable Energy  
GRA,W.R. Grace & Co. Common 
GT,Goodyear Tire & Rubber Company  
IO,Ion Geophysical Corporation Com 
IRBT,iRobot Corporation 
ISR,IsoRay Inc. Common 
ISSC,Innovative Solutions and Suppor 
ITIC,Investors Title Company 
JEC,Jacobs Engineering Group Inc. C 
KS,KapStone Paper and Packaging Co 
LABL,Multi-Color Corporation 
LLNW,Limelight Networks Inc. 
LPSN,LivePerson Inc. 
LPX,Louisiana-Pacific Corporation C 
LVLT,Level 3 Communications Inc. Co 
MHH,Mastech Holdings Inc Common St 
MKL,Markel Corporation Common 
MNR,Monmouth Real Estate Investment 
MOSY,MoSys Inc. 
MTRX,Matrix Service Company 
MXL,MaxLinear Inc Class A Common S 
NAII,Natural Alternatives Internatio 
NCIT,NCI Inc. 
NJR,NewJersey Resources Corporation 
NSIT,Insight Enterprises Inc. 
OC,Owens Corning Inc Common 
OESX,Orion Energy Systems Inc. Comm 
OHI,Omega Healthcare Investors Inc 
OII,Oceaneering International Inc. 
OSUR,OraSure Technologies Inc. 
PDM,Piedmont Office Realty Trust I 
PRI,Primerica Inc. Common 
PRU,Prudential Financial Inc. Comm 
PSTI,Pluristem Therapeutics Inc. 
QDEL,Quidel Corporation 
RAVN,Raven Industries Inc. 
RDWR,Radware Ltd. 
RNWK,RealNetworks Inc. 
RYN,Rayonier Inc. REIT Common 
SB,Safe Bulkers Inc Common 
SCSS,Select Comfort Corporation 
SGMO,Sangamo BioSciences Inc. 
SNCR,Synchronoss Technologies Inc. 
TBI,TrueBlue Inc. Common 
TISI,Team Inc. Common 
TRMB,Trimble Navigation Limited 
TRNO,Terreno Realty Corporation Comm 
TRT,Trio-Tech International Common  
TSLA,Tesla Motors Inc. 
TTMI,TTM Technologies Inc. 
TWX,Time Warner Inc. New Common Sto 
TYL,Tyler Technologies Inc. Common 
UHAL,Amerco 
UQM,UQM TECHNOLOGIES INC Common Sto 
USAT,USA Technologies Inc. 
VII,Vicon Industries Inc Common S 
WGL,WGL Holdings IncCommon 
WHG,Westwood Holdings Group Inc Com 
WSTL,Westell Technologies Inc. 
CEB, Corporate Executive Board Compa 
CG, The Carlyle Group L.P. 
CSTE, CaesarStone Sdot-Yam Ltd. 
DLHC, DLH Holdings Corp. 
FLDM, Fluidigm Corporation 
GEOS, Geospace Technologies Corporati 
GWR, Genesee & Wyoming Inc. Class A  
HHS, Harte-Hanks  Inc. Common 
HNI, HNI Corp Common 
HSIC, Henry Schein  Inc. 
HUM, Humana Inc. Common 
IESC, Integrated Electrical Services  
IMPV, Imperva  Inc. Common 
INVN, InvenSense  Inc. Common 
LFVN, Lifevantage Corporation 
LOCK, LifeLock  Inc. Common 
MATR, Mattersight Corporation 
MTGE, American Capital Mortgage Inves 
PNNT, PennantPark Investment Corporat 
PSEC, Prospect Capital Corporation 
QLYS, Qualys  Inc. 
THR, Thermon Group Holdings  Inc. Co 
WFM, Whole Foods Market  Inc. 
THST,Truett-Hurst Inc. 
PCMI,PCM Inc. 
NNVC,NanoViricides Inc. 
ENTA,Enanta Pharmaceuticals Inc. 
EARN,N/A 
VOYA,ING U.S. Inc. 
YDKN,Yadkin Financial Corporation 
AGTC,Applied Genetic Technologies Corporation 
ARCB,ArcBest Corporation 
GRUB,GrubHub Inc. 
PAYC,Paycom Software Inc. 
PFIE,Profire Energy Inc. 
VRNS,Varonis Systems Inc. 
ZEN,Zendesk Inc. Common
AXTA,Axalta Coating Systems Ltd. Com
APDN,Applied DNA Sciences Inc
RAVE,RAVE Restaurant Group Inc.
NHTC,NATURAL HEALTH TREND
MB,MINDBODY  Inc.
GPP,Green Plains Partners LP
AXON,Axovant Sciences Ltd.
CAA,CalAtlantic Group  Inc.
CYRX,Cryoport  Inc.
PFGC,Performance Food Group Company
DRIO,LabStyle Innovations Corp.
APFH,AdvancePierre Foods Holdings  Inc.
NXEO,Nexeo Solutions  Inc.
