PLX,Protalix BioTherapeutics Inc.  
RCL,Royal Caribbean Cruises Ltd. Co 
SMLR,Semler Scientific Inc 
OPHC,OptimumBank Holdings Inc. 
SJW,SJW Corporation Common 
STMP,Stamps.com Inc. 
CCG,Campus Crest Communities Inc.  
HFBC, HopFed Bancorp  Inc. 
IKAN, Ikanos Communications  Inc. 
PNRG,PrimeEnergy Corporation 
RGCO,RGC Resources Inc. 
INFU,InfuSystems Holdings Inc. Comm 
LABC,Louisiana Bancorp Inc. 
OMG,OM Group Inc. Common 
PBIP,Prudential Bancorp Inc. 
SLI,SL Industries Inc. Common Stoc 
AEE,Ameren Corporation Common 
ABR,Arbor Realty Trust Common 
BERY, Berry Plastics Group  Inc. Comm 
BPL,Buckeye Partners L.P. Common St 
CBOE,CBOE Holdings Inc. 
CVX,Chevron Corporation Common Stoc 
CMCO,Columbus McKinnon Corporation 
DSX,Diana Shipping inc. common stoc 
XOM,Exxon Mobil Corporation Common  
HPY, Heartland Payment Systems  Inc. 
IMGN, ImmunoGen  Inc. 
IMS,IMS Health Holdings Inc. 
ITT,ITT Corporation Common 
JASN,Jason Industries Inc.
KCG,Knight Capital Group Inc. Clas 
LM,Legg Mason Inc. Common 
LPNT,LifePoint Hospitals Inc. 
MOD,Modine Manufacturing Company Co 
MGI,Moneygram International Inc. N 
NJR,NewJersey Resources Corporation 
NWL,Newell Rubbermaid Inc. Common S 
NLNK, NewLink Genetics Corporation 
POM,PEPCO Holdings Inc Common 
PSX, Phillips 66 Common 
PSXP,Phillips 66 Partners LP 
PNM,PNM Resources Inc. (Holding Co 
PFS,Provident Financial Services I 
PEG,Public Service Enterprise Group 
RLGY, Realogy Holdings Corp. Common S 
STX,Seagate Technology. 
SHEN,Shenandoah Telecommunications C 
SWC,Stillwater Mining Company Commo 
TDS,Telephone and Data Systems Inc 
TNP,Tsakos Energy Navigation Ltd Co 
TYC,Tyco International Ltd. (Switz 
USM,United States Cellular Corporat 
WY,Weyerhaeuser Company Common Sto 
WETF, WisdomTree Investments  Inc. 
JMI, Javelin Mortgage Investment Cor 
EXL,Excel Trust Inc. Common 
AXL,American Axle & Manufacturing H 
AON,Aon plc Class A Ordinary Shares 
WMC, Western Asset Mortgage Capital  
ACG, Alliancebernstein Income Fund 
