AAME,Atlantic American Corporation 
ORIG, Ocean Rig UDW Inc. 
PNTR, Pointer Telocation Ltd. 
RGLD, Royal Gold  Inc. 
SVT, Servotronics  Inc. Common 
TATT, TAT Technologies Ltd. 
UNXL, Uni-Pixel  Inc. 
TIPT,Tiptree Financial Inc. 
RMGN,RMG Networks Holding Corporation 
RIBT,RiceBran Technologies 
QIWI,Qiwi plc 
PPSI,Pioneer Power Solutions Inc. 
MICT,Micronet Enertec Technologies Inc. 
KNOP,KNOT Offshore Partners LP 
JTPY,JetPay Corporation 
HTBX,Heat Biologics Inc. 
IPDN,Professional Diversity Network LLC 
IPWR,Ideal Power Inc. 
EVOK,Evoke Pharma Inc. 
EVK,Ever-Glory International Group Inc. 
BDL,Flanigans Enterprises Inc. 
VJET,Voxeljet AG 
VTNR,Vertex Energy Inc. 
AKER,Akers Biosciences Inc. 
AMDA,Amedica Corporation 
BLFS,BioLife Solutions Inc. 
EBIO,Eleven Biotherapeutics Inc. 
GLRI,Glori Energy Inc. 
GPRK,GeoPark Limited 
NSEC,National Security Group Inc. 
NVFY,Nova Lifestyle Inc. 
PFIE,Profire Energy Inc. 
PIH,1347 Property Insurance Holdings Inc. 
RGSE,Real Goods Solar Inc. 
RXII,RXi Pharmaceuticals Corporation 
SYRX,Sysorex Global Holdings Corp. 
CFRX,ContraFect Corporation
CLRB,Cellectar Biosciences Inc.
DERM,Dermira Inc.
EFOI,Energy Focus Inc.
FSNN,Fusion Telecommunications Inter
HSGX,Histogenics Corporation
IMPR,Imprivata Inc. Common
JYNT,The Joint Corp.
MDLY,Medley Management Inc. Class A
MDSY,BluePhoenix Solutions Ltd.
MTBC,Medical Transcription Billing Corp
MTLS,Materialise NV
OXBR,Oxbridge Re Holdings Limited
PRTO,Proteon Therapeutics Inc.
SGNL,Signal Genetics Inc.
SNC,State National Companies Inc.
TENX,Tenax Therapeutics Inc.
TKAI,Tokai Pharmaceuticals Inc.
UPLD,Upland Software Inc.
VBLT,Vascular Biogenics Ltd.
WHLM,Wilhelmina International Inc.
BCLI,Brainstorm Cell Therapeutics In
BABA,Alibaba Group Holding Limited A
ARDM,Aradigm Corporation
APDN,Applied DNA Sciences Inc
ANY,Sphere 3D Corp
ADMA,ADMA Biologics Inc
ABAC,Aoxin Tianli Group Inc.
PN,Patriot National Inc. Common S
NHLD,NATIONAL HOLDINGS
CAPR,CAPRICOR THERAP
STDY,STEADYMED LTD.
VSTO,Vista Outdoor Inc. Common
VUZI,VUZIX CORP CMN STK
MCRB,Seres Therapeutics  Inc.
CSAL,Communications Sales & Leasing  Inc.
CRBP,Corbus Pharmaceuticals Holdings  Inc.
CATB,Catabasis Pharmaceuticals  Inc.
AEMD,Aethlon Medical  Inc.
PLNT,Planet Fitness
RUN,Sunrun
ACRS,Aclaris Therapeutics  Inc.
CCP,Care Capital Properties  Inc.
CNFR,Conifer Holdings  Inc.
COYN,COPsync  Inc.
NEOS,Neos Therapeutics  Inc.
PYDS,Payment Data Systems  Inc.
VIAV,Viavi Solutions Inc.
VYGR,Voyager Therapeutics  Inc.
XCOM,Xtera Communications  Inc.
ACIA,Acacia Communications  Inc.
ADVM,Adverum Biotechnologies  Inc.
AVXS,AveXis  Inc.
BSTG,Biostage  Inc.
CDXC,ChromaDex Corporation
DRIO,LabStyle Innovations Corp.
GWRS,Global Water Resources  Inc.
IZEA,IZEA  Inc.
LINK,Interlink Electronics  Inc.
SSKN,Strata Skin Sciences  Inc.
MFS,Manitowoc Foodservice  Inc. 
TPB,Turning Point Brands  Inc.
