ABR,Arbor Realty Trust Common 
AE,Adams Resources & Energy Inc.  
AETI,American Electric Technologies 
ALR,Alere Inc. Common 
ARKR,Ark Restaurants Corp. 
ARP,Atlas Resource Partners L.P. C 
AVEO,AVEO Pharmaceuticals Inc. 
AVNW,Aviat Networks Inc. 
AXL,American Axle & Manufacturing H 
BBEP,BreitBurn Energy Partners L.P. 
BELFA,Bel Fuse Inc. 
BH,Biglari Holdings Inc. 
BIOD,Biodel Inc. 
BPL,Buckeye Partners L.P. Common St 
BYFC,Broadway Financial Corporation 
CBLI,Cleveland BioLabs Inc. 
CI,Cigna Corporation Common 
CKP,Checkpoint Systms Inc. Common  
CNTY,Century Casinos Inc. 
CRMD,CorMedix Inc Common 
CSBK,Clifton Savings Bancorp Inc. 
CTCM,CTC Media Inc. 
CTIC,Cell Therapeutics Inc. 
CTSH,Cognizant Technology Solutions  
CTWS,Connecticut Water Service Inc. 
CUR,Neuralstem Inc. Common 
CVGI,Commercial Vehicle Group Inc. 
CVM,Cel-Sci Corporation Common Stoc 
CVO,Cenveo Inc 
DJCO,Daily Journal Corp. (S.C.) 
DRH,Diamondrock Hospitality Company 
DVAX,Dynavax Technologies Corporatio 
DXPE,DXP Enterprises Inc. 
EMCI,EMC Insurance Group Inc. 
ENG,ENGlobal Corporation 
ENSG,The Ensign Group Inc. 
EXC,Exelon Corporation Common 
FCNCA,First Citizens BancShares Inc. 
FLY,Fly Leasing Limited 
FSYS,Fuel Systems Solutions Inc. 
FXCM,FXCM Inc. Class A Common 
GENC,Gencor Industries Inc. 
GNVC,GenVec Inc. 
JOUT,Johnson Outdoors Inc. 
KOP,Koppers Holdings Inc. Koppers H 
KRO,Kronos Worldwide Inc Common Sto 
LTS,Ladenburg Thalmann Financial Se 
LUK,Leucadia National Corporation C 
MEG,Media General Inc. Class A Com 
MOSY,MoSys Inc. 
MSG,The Madison Square Garden Compa 
MTSL,MER Telemanagement Solutions Lt 
NCT,Newcastle Investment Corporatio 
NHI,National Health Investors Inc. 
NICK,Nicholas Financial Inc. 
NIHD,NII Holdings Inc. 
NL,NL Industries Inc. Common Stoc 
NRP,Natural Resources Partners LP 
OLP,One Liberty Properties Inc. Co 
PDCE,Pioneer Drilling Company Common 
PESI,Perma-Fix Environmental Service 
PFBI,Premier Financial Bancorp Inc. 
PHX,Panhandle Oil and Gas Inc Commo 
PIP,PharmAthene Inc Common 
PMC,Pharmerica Corporation Common S 
POWR,PowerSecure International Inc 
PRCP,Perceptron Inc. 
RDI,Reading International Inc 
REV,Revlon Inc. New Common 
ROCK,Gibraltar Industries Inc. 
RPRX,Repros Therapeutics Inc. 
SCOR,comScore Inc. 
SEB,Seaboard Corporation Common Sto 
SJI,South Jersey Industries Inc. C 
SSP,E.W. Scripps Company (The) Comm 
STEM,StemCells Inc. 
SUMR,Summer Infant Inc. 
SWC,Stillwater Mining Company Commo 
TAXI,Medallion Financial Corp. 
TDS,Telephone and Data Systems Inc 
UG,United-Guardian Inc. 
UNTD,United Online Inc. 
USM,United States Cellular Corporat 
VHI,Valhi Inc. Common 
VSCP,VirtualScopics Inc. 
VSR,Versar Inc. Common 
WLFC,Willis Lease Finance Corporatio 
WY,Weyerhaeuser Company Common Sto 
XRAY,DENTSPLY International Inc. 
ZIOP,ZIOPHARM Oncology Inc 
AMTG, Apollo Residential Mortgage  In 
GLOG, GasLog Ltd. Common Shares 
GSIG, GSI Group  Inc. 
HMSY, HMS Holdings Corp 
HNRG, Hallador Energy Company 
HPJ, Hong Kong Highpower Technology 
IBOC, International Bancshares Corpor 
IESC, Integrated Electrical Services  
IHC, Independence Holding Company Co 
SSFN, Stewardship Financial Corp 
WMC, Western Asset Mortgage Capital  
AMLP,ALPS Alerian MLP ETF
SRLP,Sprague Resources LP 
SAEX,SAExploration Holdings Inc. 
OAKS,Five Oaks Investment Corp. 
HMTV,Hemisphere Media Group Inc. 
GOGO,Gogo Inc. 
ESPR,Esperion Therapeutics Inc. 
CST,CST Brands Inc. 
CPXX,Celator Pharmaceuticals Inc. 
BVA,Cordia Bancorp Inc. 
BPY,Brookfield Property Partners L.P. 
ATHM,Autohome Inc. 
ZFC,ZAIS Financial Corp. 
FLXN,Flexion Therapeutics Inc. 
HRTX,Heron Therapeutics Inc. 
LPCN,Lipocine Inc. 
OFS,OFS Capital Corporation 
CDNA,CareDx Inc.
DAKP,Dakota Plains Holdings Inc. Co
FELP,Foresight Energy LP Common Unit
OHAI,OHA Investment Corporation
RIGP,Transocean Partners LLC Common 
RYI,Ryerson Holding Corporation Com
CCLP,CSI Compressco LP
CBAY,CymaBay Therapeutics Inc.
CAPL,CrossAmerica Partners LP Common
NVET,Nexvet Biopharma Public Limited Company
PTXP,PennTex Midstream Partners  LP
LIND,Lindblad Expeditions Holdings Inc.
GNL,Global Net Lease  Inc.
ERN,Erin Energy Corporation
CETX,Cemtrex Inc.
CCP,Care Capital Properties  Inc.
