ABCO,The Advisory Board Company 
ACFC,Atlantic Coast Federal Corporat 
ACGL,Arch Capital Group Ltd. 
AGNC,American Capital Agency Corp. 
ALEX,Alexander & Baldwin Inc. Commo 
AMCC,Applied Micro Circuits Corporat 
AMGN,Amgen Inc. 
ANIK,Anika Therapeutics Inc. 
ARRS,Arris Group Inc 
ASGN,On Assignment Inc. 
ATNI,Atlantic Tele-Network Inc. 
AVX,AVX Corporation Common 
AXTI,AXT Inc 
BA,Boeing Company (The) Common Sto 
BAH,Booz Allen Hamilton Holding Cor 
BBSI,Barrett Business Services Inc. 
BDGE,Bridge Bancorp Inc. 
BFIN,BankFinancial Corporation 
BHB,Bar Harbor Bankshares Inc. Com 
BKCC,BlackRock Kelso Capital Corpora 
BOKF,BOK Financial Corporation 
CA,CA Inc. 
CACB,Cascade Bancorp 
CAKE,The Cheesecake Factory Incorpor 
CBT,Cabot Corporation Common 
CDE,Coeur d'Alene Mines Corporation 
CFFI,C&F Financial Corporation 
CFNB,California First National Banco 
CFR,Cullen/Frost Bankers Inc. Comm 
CGI,Celadon Group Inc. Common Stoc 
CMCSA,Comcast Corporation 
CMO,Capstead Mortgage Corporation C 
CMRE,Costamare Inc. Common 
CNMD,CONMED Corporation 
COHR,Coherent Inc. 
CPSS,Consumer Portfolio Services In 
CRI,Carter's Inc. Common 
CSGP,CoStar Group Inc. 
CVTI,Covenant Transportation Group  
CW,Curtiss-Wright Corporation Comm 
CYS,CYS Investments Inc. Common St 
DCOM,Dime Community Bancshares Inc. 
DEL,Deltic Timber Corporation Commo 
DEPO,Depomed Inc. 
DHIL,Diamond Hill Investment Group  
DHT,DHT Holdings Inc. 
DHX,Dice Holdings Inc. Common Stoc 
DLB,Dolby Laboratories Common 
DORM,Dorman Products Inc. 
DPS,Dr Pepper Snapple Group Inc Dr 
DRE,Duke Realty Corporation Common  
DXYN,The Dixie Group Inc. 
EBMT,Eagle Bancorp Montana Inc. 
ECHO,Echo Global Logistics Inc. 
EFX,Equifax Inc. Common 
EIG,Employers Holdings Inc Common S 
ELY,Callaway Golf Company Common St 
EML,Eastern Company (The) 
ENTG,Entegris Inc. 
EQY,Equity One Inc. Common 
ESSA,ESSA Bancorp Inc. 
ETM,Entercom Communications Corpora 
EVR,Evercore Partners Inc Class A C 
EXC,Exelon Corporation Common 
EXR,Extra Space Storage Inc Common  
FALC,FalconStor Software Inc. 
FARO,FARO Technologies Inc. 
FCF,First Commonwealth Financial Co 
FDML,Federal-Mogul Corporation 
FLIC,The First of Long Island Corpor 
FLIR,FLIR Systems Inc. 
FOE,Ferro Corporation Common 
FORR,Forrester Research Inc. 
GCI,Gannett Co. Inc. Common 
GD,General Dynamics Corporation Co 
GLW,Corning Incorporated Common Sto 
GPRO,Gen-Probe Incorporated 
GRMN,Garmin Ltd. 
GRPN,Groupon Inc. 
GT,Goodyear Tire & Rubber Company  
INFN,Infinera Corporation 
INT,World Fuel Services Corporation 
IR,Ingersoll-Rand plc (Ireland) 
ISIG,Insignia Systems Inc. 
JMP,JMP Group Inc Common 
KEX,Kirby Corporation Common 
KIM,Kimco Realty Corporation Common 
KNL,Knoll Inc. Common 
KNX,Knight Transportation Inc. Com 
KO,Coca-Cola Company (The) Common  
KONA,Kona Grill Inc. 
KRA,Kraton Performance Polymers In 
KS,KapStone Paper and Packaging Co 
KWR,Quaker Chemical Corporation Com 
LH,Laboratory Corporation of Ameri 
LL,Lumber Liquidators Holdings In 
LLNW,Limelight Networks Inc. 
LM,Legg Mason Inc. Common 
LMAT,LeMaitre Vascular Inc. 
LRCX,Lam Research Corporation 
MAA,Mid-America Apartment Communiti 
MANT,ManTech International Corporati 
MAR,Marriot International Common St 
MBRG,Middleburg Financial Corporatio 
MCK,McKesson Corporation Common Sto 
MHO,M/I Homes Inc. Common 
MMLP,Martin Midstream Partners L.P. 
MMSI,Merit Medical Systems Inc. 
MMYT,MakeMyTrip Limited 
MNDO,MIND C.T.I. Ltd. 
MOH,Molina Healthcare Inc Common St 
MPX,Marine Products Corporation Com 
MRVL,Marvell Technology Group Ltd. 
MSL,MidSouth Bancorp Common 
MTW,Manitowoc Company Inc. (The) C 
MUR,Murphy Oil Corporation Common S 
NATI,National Instruments Corporatio 
NBIX,Neurocrine Biosciences Inc. 
NBN,Northeast Bancorp 
NCIT,NCI Inc. 
NDAQ,The NASDAQ OMX Group Inc. 
NEE,NextEra Energy Inc. Common Sto 
NEU,NewMarket Corp Common 
NMM,Navios Maritime Partners LP Com 
NOC,Northrop Grumman Corporation Co 
NRIM,Northrim BanCorp Inc 
NTGR,NETGEAR Inc. 
NTRI,NutriSystem Inc 
NXPI,NXP Semiconductors N.V. 
O,Realty Income Corporation Commo 
OC,Owens Corning Inc Common 
OCN,Ocwen Financial Corporation NEW 
OI,Owens-Illinois Inc. Common Sto 
OSTK,Overstock.com Inc. 
OTEX,Open Text Corporation 
OVBC,Ohio Valley Banc Corp. 
PGC,Peapack-Gladstone Financial Cor 
PPC,Pilgrim's Pride Corporation Com 
PSA,Public Storage Common 
PXD,Pioneer Natural Resources Compa 
QDEL,Quidel Corporation 
QEP,QEP Resources Inc. Common Stoc 
R,Ryder System Inc. Common 
RCII,Rent-A-Center Inc. 
RES,RPC Inc. Common 
ROIC,Retail Opportunity Investments  
ROL,Rollins Inc. Common 
RRTS,Roadrunner Transportation Syste 
RTIX,RTI Biologics Inc. 
SBBX,Sussex Bancorp 
SBCF,Seacoast Banking Corporation of 
SCCO,Southern Copper Corporation Com 
SCI,Service Corporation Internation 
SCKT,Socket Mobile Inc. 
SEIC,SEI Investments Company 
SFLY,Shutterfly Inc. 
SIGI,Selective Insurance Group Inc. 
SIX,Six Flags Entertainment Corpora 
SJW,SJW Corporation Common 
SLAB,Silicon Laboratories Inc. 
SLGN,Silgan Holdings Inc. 
SMTX,SMTC Corporation 
SNAK,Inventure Foods Inc. 
SO,Southern Company (The) Common S 
SONS,Sonus Networks Inc. 
SPG,Simon Property Group Inc. Comm 
SPSC,SPS Commerce Inc. 
SSNC,SS&C Technologies Holdings Inc 
STRA,Strayer Education Inc. 
SUP,Superior Industries Internation 
SVU,SuperValu Inc. Common 
SYBT,S.Y. Bancorp Inc. 
SYNL,Synalloy Corporation 
TER,Teradyne Inc. Common 
TIS,Orchids Paper Products Company  
TMK,Torchmark Corporation Common St 
TRK,Speedway Motorsports Inc. Comm 
TTEK,Tetra Tech Inc. 
TTMI,TTM Technologies Inc. 
TYL,Tyler Technologies Inc. Common 
TYPE,Monotype Imaging Holdings Inc. 
UBSI,United Bankshares Inc. 
UCBI,United Community Banks Inc. 
UHT,Universal Health Realty Income  
UNM,Unum Group Common 
USAP,Universal Stainless & Alloy Pro 
USBI,United Security Bancshares Inc 
USLM,United States Lime & Minerals  
UVSP,Univest Corporation of Pennsylv 
VGR,Vector Group Ltd. Common 
VIVO,Meridian Bioscience Inc. 
VLY,Valley National Bancorp Common  
VNDA,Vanda Pharmaceuticals Inc. 
VRTX,Vertex Pharmaceuticals Incorpor 
WEC,Wisconsin Energy Corporation Co 
WEX,Winland Electronics Inc. Commo 
WFD,Westfield Financial Inc. 
WHG,Westwood Holdings Group Inc Com 
WLL,Whiting Petroleum Corporation C 
WM,Waste Management Inc. Common S 
WOOF,VCA Antech Inc. 
WRE,Washington Real Estate Investme 
WSR,Whitestone REIT Common Shares 
WSTL,Westell Technologies Inc. 
WYN,Wyndham Worldwide Corp Common   
XL,XL Group plc 
XLNX,Xilinx Inc. 
ALSN, Allison Transmission Holdings   
ANCB, Anchor Bancorp 
ANGI, Angie's List  Inc. 
ARR, ARMOUR Residential REIT  Inc. 
BCEI, Bonanza Creek Energy  Inc. Comm 
CG, The Carlyle Group L.P. 
DCIX, Diana Containerships Inc. 
EVER, EverBank Financial Corp. Common 
FB, Facebook  Inc. 
HCCI, Heritage-Crystal Clean  Inc. 
HES, Hess Corporation Common 
HK, Halcon Resources Corporation Co 
HMN, Horace Mann Educators Corporati 
HNH, Handy & Harman Ltd. 
HOLX, Hologic  Inc. 
HSIC, Henry Schein  Inc. 
HSKA, Heska Corporation 
HT, Hersha Hospitality Trust Class  
HTBK, Heritage Commerce Corp 
HTLD, Heartland Express  Inc. 
HUN, Huntsman Corporation Common Sto 
HWKN, Hawkins  Inc. 
IBKC, IBERIABANK Corporation 
ICAD, icad inc. 
MDLZ, Mondelez International  Inc. 
MN, Manning & Napier  Inc. Class A  
PAR, PAR Technology Corporation Comm 
PB, Prosperity Bancshares  Inc. Com 
PNBK, Patriot National Bancorp Inc. 
STT, State Street Corporation Common 
TTP, Tortoise Pipeline & Energy Fund 
WEBK, Wellesley Bancorp  Inc. 
WFM, Whole Foods Market  Inc. 
XBKS, Xenith Bankshares  Inc. 
TPH,TRI Pointe Homes Inc. 
TMUS,T-Mobile US Inc. 
SFBC,Sound Financial Bancorp Inc. 
SCTY,SolarCity Corporation 
SALT,Scorpio Bulkers Inc. 
PCMI,PCM Inc. 
ORC,Orchid Island Capital Inc. 
NYCB,New York Community Bancorp Inc. 
MKTO,Marketo Inc. 
HLT,Hilton Worldwide Holdings Inc. 
I,Intelsat S.A. 
FSBW,FS Bancorp Inc. 
ESRT,Empire State Realty Trust Inc. 
DRII,Diamond Resorts International Inc. 
ADHD,Alcobra Ltd. 
WBAI,500.com Limited 
WCIC,WCI Communities Inc. 
WIX,Wix.com Ltd. 
CORI,Corium International Inc. 
CRCM,Care.com Inc. 
EPE,EP Energy Corporation 
IBP,Installed Building Products Inc. 
IMS,IMS Health Holdings Inc. 
SC,Santander Consumer USA Holdings Inc. 
TRCB,Two River Bancorp 
CMPR,Cimpress N.V
SPOK,Spok Holdings Inc.
BWFG,Bankwell Financial Group Inc.
ANTM,Anthem Inc. Common
PATI,Patriot Transportation Holding Inc
NHTC,NATURAL HEALTH TREND
HQCL,Hanwha Q CELLS Co. Ltd
PUB,Peoples Utah Bancorp
NSA,National Storage Affiliates
MB,MINDBODY  Inc.
GNRT,Gener8 Maritime Inc.
LOB,Live Oak Bancshares  Inc.
EDIT,Editas Medicine Inc.
IAC,IAC/InterActiveCorp
