PLX,Protalix BioTherapeutics Inc.  
FR,First Industrial Realty Trust  
HBI, Hanesbrands Inc. Common 
BCO,Brinks Company (The) Common Sto 
DTLK,Datalink Corporation 
GIFI,Gulf Island Fabrication Inc. 
LSCC,Lattice Semiconductor Corporati 
MTSN,Mattson Technology Inc. 
PNK,Pinnacle Entertainment Inc. Co 
RTIX,RTI Biologics Inc. 
TDY,Teledyne Technologies Incorpora 
TORM,TOR Minerals International Inc 
GAME,Shanda Games Limited 
VVI,Viad Corp Common 
ANTH,Anthera Pharmaceuticals Inc. 
CBM,Cambrex Corporation Common Stoc 
CLBH, Carolina Bank Holdings Inc. 
IVR,INVESCO MORTGAGE CAPITAL INC Co 
KAI,Kadant Inc Common 
MLP,Maui Land & Pineapple Company  
SB,Safe Bulkers Inc Common 
CKH,SEACOR Holdings Inc. Common Sto 
FIX,Comfort Systems USA Inc. Commo 
DRQ,Dril-Quip Inc. Common 
HFBL,Home Federal Bancorp Inc. of Louisiana 
OPHC,OptimumBank Holdings Inc. 
PBIB, Porter Bancorp  Inc. 
SJW,SJW Corporation Common 
SZYM, Solazyme  Inc. 
STMP,Stamps.com Inc. 
TFSL,TFS Financial Corporation 
ACNB,ACNB Corporation 
NCZ, AGIC Convertible & Income Fund  
CCG,Campus Crest Communities Inc.  
LNG,Cheniere Energy Inc. Common St 
CQP,Cheniere Energy Partners LP Ch 
GPX,GP Strategies Corporation Commo 
HFBC, HopFed Bancorp  Inc. 
IKAN, Ikanos Communications  Inc. 
NUTR,Nutraceutical International Cor 
OMCL,Omnicell Inc. 
OA,Orbital ATK Inc. Common
PNRG,PrimeEnergy Corporation 
RGCO,RGC Resources Inc. 
SNMX,Senomyx Inc. 
TBNK,Territorial Bancorp Inc. 
ATEN,A10 Networks Inc. 
ACIW,ACI Worldwide Inc. 
ACOR,Acorda Therapeutics Inc. 
APD,Air Products and Chemicals Inc 
ALXN,Alexion Pharmaceuticals Inc. 
ALLE,Allegion plc Ordinary Shares 
AB,Allianceberstein Holding L.P.   
AMRC,Ameresco Inc. Class A Common S 
AMGN,Amgen Inc. 
ANH,Anworth Mortgage Asset Corporat 
AIV,Apartment Investment and Manage 
AMCC,Applied Micro Circuits Corporat 
AWI,Armstrong World Industries Inc  
ASCMA,Ascent Capital Group Inc. 
AAWW,Atlas Air Worldwide Holdings 
ADP,Automatic Data Processing Inc. 
AVHI, A V Homes  Inc. 
AVP,Avon Products Inc. Common Stoc 
AXTI,AXT Inc 
BLL,Ball Corporation Common 
BAS,Basic Energy Services Inc. Com 
BOFI,BofI Holding Inc. 
BWA,BorgWarner Inc. Common 
SAM,Boston Beer Company Inc. (The) 
BCOV,Brightcove Inc. 
BWEN,Broadwind Energy Inc. 
BC,Brunswick Corporation Common St 
CPT,Camden Property Trust Common St 
CPLP,Capital Product Partners L.P. 
CRR,Carbo Ceramics Inc. Common Sto 
CAH,Cardinal Health Inc. Common St 
CATM,Cardtronics Inc. 
CRS,Carpenter Technology Corporatio 
CSH,Cash America International Inc 
CEVA,CEVA Inc. 
CRL,Charles River Laboratories Inte 
CHEF, The Chefs' Warehouse  Inc. 
CHSP,Chesapeake Lodging Trust Common 
CBR,Ciber Inc. Common 
CI,Cigna Corporation Common 
CBB,Cincinnati Bell Inc. Common Sto 
CCO,Clear Channel Outdoor Holdings 
CLW,Clearwater Paper Corporation Co 
CME,CME Group Inc. 
CCE,Coca-Cola Enterprises Inc. Com 
CL,Colgate-Palmolive Company Commo 
CXP,Columbia Property Trust Inc. 
COLM,Columbia Sportswear Company 
ESXB,Community Bankers Trust Corporation 
CPSI,Computer Programs and Systems  
CPS,Cooper-Standard Holdings Inc. 
COWN,Cowen Group Inc. 
CROX,Crocs Inc. 
CVI,CVR Energy Inc. Common 
UAN, CVR Partners  LP Common Units r 
CVRR,CVR Refining LP 
DAIO,Data I/O Corporation 
DCT,DCT Industrial Trust Inc Common 
