AAON,AAON Inc. 
ACW,Accuride Corporation Common Sto 
AEIS,Advanced Energy Industries Inc 
AIN,Albany International Corporatio 
ALX,Alexander's Inc. Common 
AMG,Affiliated Managers Group Inc. 
AMKR,Amkor Technology Inc. 
ANAT,American National Insurance Com 
ANH,Anworth Mortgage Asset Corporat 
APC,Anadarko Petroleum Corporation  
ARE,Alexandria Real Estate Equities 
AWH,Allied World Assurance Company  
AWI,Armstrong World Industries Inc  
BDE,Black Diamond Inc. 
BWP,Boardwalk Pipeline Partners LP  
CAH,Cardinal Health Inc. Common St 
CBT,Cabot Corporation Common 
CGNX,Cognex Corporation 
CHKP,Check Point Software Technologi 
CHMT,Chemtura Corp. Common 
CLUB,Town Sports International Holdi 
CNA,CNA Financial Corporation Commo 
CTB,Cooper Tire & Rubber Company Co 
DM,Dolan Company (The) Common Stoc 
DO,Diamond Offshore Drilling Inc. 
DRRX,DURECT Corporation 
DSPG,DSP Group Inc. 
EDR,Education Realty Trust Inc. Co 
EEP,Enbridge Energy L.P. Class A C 
EXAC,Exactech Inc. 
FBSS,Fauquier Bankshares Inc. 
GABC,German American Bancorp Inc. 
GGP,General Growth Properties Inc. 
GOOD,Gladstone Commercial Corporatio 
GPRE,Green Plains Renewable Energy  
ININ,Interactive Intelligence Group 
IVC,Invacare Corporation Common Sto 
JBSS,John B. Sanfilippo & Son Inc. 
L,Loews Corporation Common 
LMNX,Luminex Corporation 
MCY,Mercury General Corporation Com 
MFNC,Mackinac Financial Corporation 
MIC,Macquarie Infrastructure Compan 
MPWR,Monolithic Power Systems Inc. 
MYL,Mylan Inc. 
NEE,NextEra Energy Inc. Common Sto 
NLS,Nautilus Inc. Common 
NPK,National Presto Industries Inc 
OB,OneBeacon Insurance Group Ltd. 
OFIX,Orthofix International N.V. 
OHI,Omega Healthcare Investors Inc 
OLN,Olin Corporation Common 
ONB,Old National Bancorp Capital Tr 
PEG,Public Service Enterprise Group 
PKOH,Park-Ohio Holdings Corp. 
PLOW,Douglas Dynamics Inc. Common S 
PPS,Post Properties Inc. Common St 
PQ,Petroquest Energy Inc Common St 
RAIL,Freightcar America Inc. 
ROP,Roper Industries Inc. Common S 
SB,Safe Bulkers Inc Common 
SENEA,Seneca Foods Corp. 
SNBC,Sun Bancorp Inc. 
SNHY,Sun Hydraulics Corporation 
SO,Southern Company (The) Common S 
SSW,Seaspan Corporation Seaspan Cor 
STRL,Sterling Construction Company I 
SYKE,Sykes Enterprises Incorporated 
SYX,Systemax Inc. Common 
TECH,Techne Corporation 
THC,Tenet Healthcare Corporation Co 
THLD,Threshold Pharmaceuticals Inc. 
TSO,Tesoro Corporation Common 
VBFC,Village Bank and Trust Financia 
VNO,Vornado Realty Trust Common Sto 
WLFC,Willis Lease Finance Corporatio 
WMB,Williams Companies Inc. (The)  
WPZ,Williams Partners L.P. Common U 
WSR,Whitestone REIT Common Shares 
WTM,White Mountains Insurance Group 
ZIOP,ZIOPHARM Oncology Inc 
HAIN, The Hain Celestial Group  Inc. 
HCLP, Hi-Crush Partners LP Common Uni 
HMN, Horace Mann Educators Corporati 
HTLF, Heartland Financial USA  Inc. 
HVT, Haverty Furniture Companies  In 
IDTI, Integrated Device Technology  I 
MCEP, Mid-Con Energy Partners  LP 
TLLP, Tesoro Logistics LP Common Unit 
TSBK, Timberland Bancorp  Inc. 
UNXL, Uni-Pixel  Inc. 
UCP,UCP Inc. 
TTPH,Tetraphase Pharmaceuticals Inc. 
TGLS,Tecnoglass Inc. 
SCTY,SolarCity Corporation 
SALT,Scorpio Bulkers Inc. 
ORC,Orchid Island Capital Inc. 
MEP,Midcoast Energy Partners L.P. 
KODK,Eastman Kodak Co. 
HTBX,Heat Biologics Inc. 
DKL,Delek Logistics Partners LP 
CPS,Cooper-Standard Holdings Inc. 
CONE,Cyrusone Inc. 
BCRH,Blue Capital Reinsurance Holdings Ltd. 
APAM,Artisan Partners Asset Management Inc. 
ALDW,Alon USA Partners LP 
AFH,Atlas Financial Holdings Inc. 
ACSF,American Capital Senior Floatin 
NTP,Nam Tai Property Inc. 
OGS,ONE Gas  Inc. Common Stock 
CVEO,Civeo Corporation Common
INCR,INC Research Holdings Inc.
NEP,NextEra Energy Partners LP Com
QTNT,Quotient Limited
RYAM,Rayonier Advanced Materials Inc
HCHC,HC2 HOLDINGS INC
AJX,Great Ajax Corp. Common
NVLS,Nivalis Therapeutics  Inc.
CNXC,CNX Coal Resources LP
BWXT,BWX Technologies  Inc.
AXON,Axovant Sciences Ltd.
ZBH,Zimmer Biomet Holdings  Inc.
INST,Instructure  Inc.
