CTCM,CTC Media Inc. 
RENN,Renren Inc. American Depositary 
SPCB,SuperCom Ltd. 
ADXS,Advaxis Inc. 
STE,STERIS Corporation Common 
AA,Alcoa Inc. Common 
OZRK,Bank of the Ozarks 
BBSI,Barrett Business Services Inc. 
CTBI,Community Trust Bancorp Inc. 
JCTCF,Jewett-Cameron Trading Company 
KMI, Kinder Morgan  Inc. Common Stoc 
LITB,LightInTheBox Holding Co. Ltd. 
TPLM,Triangle Petroleum Corporation  
JRJC,China Finance Online Co. Limite 
PSUN,Pacific Sunwear of California  
STAF,Staffing 360 Solutions  Inc.
