CTCM,CTC Media Inc. 
BEAT,CardioNet Inc. 
UPIP, Unwired Planet  Inc. 
AMG,Affiliated Managers Group Inc. 
DRYS,DryShips Inc. 
JMBA,Jamba Inc. 
MNKD,MannKind Corporation 
NOR,Noranda Aluminum Holding Corpor 
PTLA,Portola Pharmaceuticals Inc. 
PGNX,Progenics Pharmaceuticals Inc. 
PRSC,The Providence Service Corporat 
SBRA,Sabra Healthcare REIT Inc. 
UCP,UCP Inc. 
VNR,Vanguard Natural Resources LLC  
WRES,Warren Resources Inc. 
AEGR,Aegerion Pharmaceuticals Inc. 
ALNY,Alnylam Pharmaceuticals Inc. 
BDSI,BioDelivery Sciences Internatio 
CCXI, ChemoCentryx  Inc. 
DEPO,Depomed Inc. 
EXXI, Energy XXI (Bermuda) Limited 
NSPH,Nanosphere Inc. 
HNR, Harvest Natural Resources Inc 
RDNT,RadNet Inc. 
RBCN,Rubicon Technology Inc. 
SPAN, Span-America Medical Systems  I 
ZGNX,Zogenix Inc. 
ICPT, Intercept Pharmaceuticals  Inc. 
OPK,OPKO Health Inc. Common 
PRGN,Paragon Shipping Inc. Class A C 
TERP,TerraForm Power Inc.
VSAT,ViaSat Inc. 
LORL,Loral Space and Communications 
WUBA,58.com Inc. 
GAS,AGL Resources Inc. Common Stoc 
AKBA,Akebia Therapeutics Inc. 
ALTV,Alteva Inc. 
RESI,Altisource Residential Corporation 
AMBC,Ambac Financial Group Inc. 
AETI,American Electric Technologies 
AMID, American Midstream Partners  LP 
APEI,American Public Education Inc. 
APU,AmeriGas Partners L.P. Common  
APPF,AppFolio  Inc.
ACI,Arch Coal Inc. Common 
ATLS,Atlas Energy L.P. Common Units 
AFH,Atlas Financial Holdings Inc. 
ARP,Atlas Resource Partners L.P. C 
BSTC,BioSpecifics Technologies Corp 
BITA,Bitauto Holdings Limited Americ 
BLT,Blount International Inc. Comm 
CZR, Caesars Entertainment Corporati 
CALA,Calithera Biosciences Inc.
CPTA,Capitala Finance Corp. 
CARA,Cara Therapeutics Inc. 
CKEC,Carmike Cinemas Inc. 
CARV,Carver Bancorp Inc. 
CLDN,Celladon Corporation 
CLSN,Celsion Corporation 
CGA,China Green Agriculture Inc. C 
CXDC,China XD Plastics Company Limit 
CIR,CIRCOR International Inc. Comm 
COMM,CommScope Holding Company Inc. 
CHCI,Comstock Holding Companies Inc 
CORR,CorEnergy Infrastructure Trust Inc. 
CUI, CUI Global  Inc. 
CRIS,Curis Inc. 
DF,Dean Foods Company Common 
APPS,Digital Turbine Inc.
DISH,DISH Network Corporation 
DTSI,DTS Inc. 
DLNG,Dynagas LNG Partners LP 
ESGR,Enstar Group Limited 
