CCG,Campus Crest Communities Inc.  
BBSI,Barrett Business Services Inc. 
REXX, Rex Energy Corporation 
UAM,Universal American Corporation  
AFAM,Almost Family Inc 
ISIG,Insignia Systems Inc. 
GCAP,GAIN Capital Holdings Inc. Com 
HBIO, Harvard Bioscience  Inc. 
ASPS,Altisource Portfolio Solutions  
BIOS,BioScrip Inc. 
NCT,Newcastle Investment Corporatio 
TLGT,Teligent  Inc.
ACY,AeroCentury Corp. Common 
BONA,Bona Film Group Limited 
CASM,CAS Medical Systems Inc. 
KODK,Eastman Kodak Co. 
NAV,Navistar International Corporat 
UDF,United Development Funding IV
WMK,Weis Markets Inc. Common 
JOBS,51job Inc. 
ANF,Abercrombie & Fitch Company Com 
ALG,Alamo Group Inc. Common 
ALIM,Alimera Sciences Inc. 
AMED,Amedisys Inc 
AEO,American Eagle Outfitters Inc. 
ALOG,Analogic Corporation 
CABO,Cable ONE  Inc.
CPE,Callon Petroleum Company Common 
CATB,Catabasis Pharmaceuticals  Inc.
CDI,CDI Corporation Common 
COKE,Coca-Cola Bottling Co. Consolid 
BVA,Cordia Bancorp Inc. 
COST,Costco Wholesale Corporation 
BREW, Craft Brew Alliance  Inc. 
DSX,Diana Shipping inc. common stoc 
DTSI,DTS Inc. 
DEA,Easterly Government Properties
ECR,Eclipse Resources Corporation C
EDGW,Edgewater Technology Inc. 
EVOK,Evoke Pharma Inc. 
FRP, FairPoint Communications  Inc. 
FOR, Forestar Group Inc Common 
GNCMA,General Communication Inc. 
GSIG, GSI Group  Inc. 
HABT,The Habit Restaurants Inc.
HRTG,Heritage Insurance Holdings In
HDSN, Hudson Technologies  Inc. 
IDSY, I.D. Systems  Inc. 
IBP,Installed Building Products Inc. 
INXN, InterXion Holding N.V. Ordinary 
ISDR,Issuer Direct Corporation 
LHCG,LHC Group 
LINC,Lincoln Educational Services Co 
MTEX,Mannatech Incorporated 
MTLS,Materialise NV
MCRN,Milacron Holdings Corp.
MLR,Miller Industries Inc. Common  
NC,NACCO Industries Inc. Common S 
NSA,National Storage Affiliates
NOG,Northern Oil and Gas Inc. Comm 
PEIX,Pacific Ethanol Inc. 
PQ,Petroquest Energy Inc Common St 
PLPM,Planet Payment Inc. 
POWR,PowerSecure International Inc 
PSTG,Pure Storage  Inc.
RCMT,RCM Technologies Inc. 
RELV,Reliv' International Inc. 
RWC,RELM Wireless Corporation Commo 
RVNC,Revance Therapeutics Inc. 
RRM,RR Media Ltd.
SMTC,Semtech Corporation 
SQNM,Sequenom Inc. 
SINA,Sina Corporation 
STAA,STAAR Surgical Company 
SUPN, Supernus Pharmaceuticals  Inc. 
TDOC,Teladoc  Inc.
TPUB,Tribune Publishing Company Comm
TSE,Trinseo S.A. Ordinary Shares
VLGEA,Village Super Market Inc. 
VSLR,Vivint Solar Inc. Common
WB,Weibo Corporation 
WEYS,Weyco Group Inc. 
CAS,Castle (A.M.) & Co. Common Stoc 
KIN,Kindred Biosciences Inc. 
SKUL, Skullcandy  Inc. 
PXS,Pyxis Tankers Inc.
ECYT, Endocyte  Inc. 
TRK,Speedway Motorsports Inc. Comm 
GARS,Garrison Capital Inc. 
THLD,Threshold Pharmaceuticals Inc. 
TNXP,Tonix Pharmaceuticals Holding Corp 
UFAB,Unique Fabricating  Inc.
