PLX,Protalix BioTherapeutics Inc.  
ICON, Iconix Brand Group  Inc. 
SCCO,Southern Copper Corporation Com 
UAM,Universal American Corporation  
CTRP,Ctrip.com International Ltd. 
ANH,Anworth Mortgage Asset Corporat 
ACAD,ACADIA Pharmaceuticals Inc. 
ACUR,Acura Pharmaceuticals Inc. 
ADUS,Addus HomeCare Corporation 
AGIO,Agios Pharmaceuticals Inc. 
AIRI,Air Industries Group 
ALDR,Alder BioPharmaceuticals Inc.
ALDX,Aldeyra Therapeutics Inc.
ALX,Alexander's Inc. Common 
ALL,Allstate Corporation (The) Comm 
ALDW,Alon USA Partners LP 
ACSF,American Capital Senior Floatin 
APU,AmeriGas Partners L.P. Common  
ARCB,ArcBest Corporation 
ARRY,Array BioPharma Inc. 
AFH,Atlas Financial Holdings Inc. 
CAR,Avis Budget Group Inc. 
BNFT,Benefitfocus Inc. 
BMRN,BioMarin Pharmaceutical Inc. 
BIOS,BioScrip Inc. 
BKEP, Blueknight Energy Partners L.P. 
BWP,Boardwalk Pipeline Partners LP  
BRCM,Broadcom Corporation 
BSFT,BroadSoft Inc. 
BKD,Brookdale Senior Living Inc. Co 
CTT,CatchMark Timber Trust Inc. 
CDW,CDW Corporation 
CKP,Checkpoint Systms Inc. Common  
CBLI,Cleveland BioLabs Inc. 
CLX,Clorox Company (The) Common Sto 
CNA,CNA Financial Corporation Commo 
CGNX,Cognex Corporation 
CYH,Community Health Systems Inc.  
CORT,Corcept Therapeutics Incorporat 
CPSH,CPS TECHNOLOGIES CP
CRWN,Crown Media Holdings Inc. 
DAC,Danaos Corporation Common 
DKL,Delek Logistics Partners LP 
DENN,Denny's Corporation 
DXM,Dex Media Inc. 
DO,Diamond Offshore Drilling Inc. 
DPLO,Diplomat Pharmacy Inc. Common
DSCO, Discovery Laboratories  Inc. 
PLOW,Douglas Dynamics Inc. Common S 
DRYS,DryShips Inc. 
DRRX,DURECT Corporation 
EXP,Eagle Materials Inc Common Stoc 
ELNK,EarthLink Inc. 
ENTA,Enanta Pharmaceuticals Inc. 
ELGX,Endologix Inc. 
ENH,Endurance Specialty Holdings Lt 
ENZY,Enzymotec Ltd. 
EPIQ,EPIQ Systems Inc. 
EVBN,Evans Bancorp Inc. Common Stoc 
EXLP,Exterran Partners L.P. 
DAVE,Famous Dave's of America Inc. 
FAC, First Acceptance Corp 
FIVN,Five9 Inc. 
FRS,Frisch's Restaurants Inc. Comm 
FTR,Frontier Communications Corpora 
GENC,Gencor Industries Inc. 
GAM, General American Investors  Inc 
GGP,General Growth Properties Inc. 
GMO,General Moly Inc. Common 
GWR, Genesee & Wyoming Inc. Class A  
GOOD,Gladstone Commercial Corporatio 
GRH,GreenHunter Energy Inc Common s 
GLRE,Greenlight Reinsurance Ltd. 
HRTX,Heron Therapeutics Inc. 
HIL, Hill International  Inc. Common 
IEP, Icahn Enterprises L.P. 
IDSY, I.D. Systems  Inc. 
INFI,Infinity Pharmaceuticals Inc. 
NSP, Insperity  Inc. Common 
ININ,Interactive Intelligence Group 
IVAC,Intevac Inc. 
KAR,KAR Auction Services Inc Commo 
KONA,Kona Grill Inc. 
LDR,Landauer Inc. Common 
TREE,Tree.com Inc. 
LLNW,Limelight Networks Inc. 
L,Loews Corporation Common 
MGNX,MacroGenics Inc. 
MCZ,Mad Catz Interactive Inc Common 
MTEX,Mannatech Incorporated 
MNKD,MannKind Corporation 
MDR,McDermott International Inc. C 
MDU,MDU Resources Group Inc. Commo 
TAXI,Medallion Financial Corp. 
MCY,Mercury General Corporation Com 
MFA,MFA Financial Inc. 
MCHP,Microchip Technology Incorporat 
MCEP, Mid-Con Energy Partners  LP 
MSEX,Middlesex Water Company 
MRC, MRC Global Inc. Common 
NTP,Nam Tai Property Inc. 
NGHC,National General Holdings Corp. 
NLS,Nautilus Inc. Common 
NVGS,Navigator Holdings Ltd. 
NEFF,Neff Corporation Common
NEE,NextEra Energy Inc. Common Sto 
NOAH,Noah Holdings Ltd. American Dep 
NBL,Noble Energy Inc. Common 
NTK, Nortek Inc. 
ORIG, Ocean Rig UDW Inc. 
OHI,Omega Healthcare Investors Inc 
ONDK,On Deck Capital Inc. Common St
OGXI,OncoGenex Pharmaceuticals Inc. 
OB,OneBeacon Insurance Group Ltd. 
ONVI,Onvia Inc. 
ORA,Ormat Technologies Inc. Common 
OTTR,Otter Tail Corporation 
PKY,Parkway Properties Inc. Common 
PERI, Perion Network Ltd 
PQ,Petroquest Energy Inc Common St 
PPS,Post Properties Inc. Common St 
PPL,PP&L Corporation Common 
PRAA,Portfolio Recovery Associates  
APTS, Preferred Apartment Communities 
PFBI,Premier Financial Bancorp Inc. 
PRTA,Prothena Corporation plc 
QCCO,QC Holdings Inc. 
QEP,QEP Resources Inc. Common Stoc 
QLYS, Qualys  Inc. 
QTNT,Quotient Limited
RWT,Redwood Trust Inc. Common Stoc 
RBC,Regal Beloit Corporation Common 
REMY,Remy International Inc. 
RMGN,RMG Networks Holding Corporation 
RSE, Rouse Properties  Inc. Common S 
RSPP,RSP Permian Inc. 
RTEC,Rudolph Technologies Inc. 
SGMS,Scientific Games Corp 
SEB,Seaboard Corporation Common Sto 
SMTP,SMTP Inc. 
SPPI,Spectrum Pharmaceuticals Inc. 
INN, Summit Hotel Properties  Inc. C 
SUM,SUMMIT MATERIALS INC.
SNHY,Sun Hydraulics Corporation 
SNSS,Sunesis Pharmaceuticals Inc. 
SYKE,Sykes Enterprises Incorporated 
SYPR,Sypris Solutions Inc. 
THC,Tenet Healthcare Corporation Co 
TSRA,Tessera Technologies Inc. 
TXRH,Texas Roadhouse Inc. 
TREX,Trex Company Inc. Common 
TSN,Tyson Foods Inc. Common 
UFPT,UFP Technologies Inc. 
UGI,UGI Corporation Common 
UIHC,United Insurance Holdings Corp. 
UUU,Universal Security Instruments 
VNR,Vanguard Natural Resources LLC  
VECO,Veeco Instruments Inc. 
VNOM,Viper Energy Partners LP
VNO,Vornado Realty Trust Common Sto 
WSTC,West Corporation 
WG,Willbros Group Inc. (DE) Commo 
XL,XL Group plc 
ZGNX,Zogenix Inc. 
AIG,American International Group I 
AJX,Great Ajax Corp. Common
MDWD,MediWound Ltd. 
NES,Nuverra Environmental Solutions Inc. 
ACRX, AcelRx Pharmaceuticals  Inc. 
CPGX,Columbia Pipeline Group  Inc.
LMNX,Luminex Corporation 
SGU,Star Gas Partners L.P. Common  
LONG,eLong Inc. 
IMKTA, Ingles Markets  Incorporated 
MTZ,MasTec Inc. Common 
