AAON,AAON Inc. 
AAWW,Atlas Air Worldwide Holdings 
ACHN,Achillion Pharmaceuticals Inc. 
ACU,Acme United Corporation. Common 
ADC,Agree Realty Corporation Common 
AGO,Assured Guaranty Ltd. Common St 
AHT,Ashford Hospitality Trust Inc C 
ALJ,Alon USA Energy Inc. common st 
AMSWA,American Software Inc. 
ANAT,American National Insurance Com 
ANSS,ANSYS Inc. 
APA,Apache Corporation Common 
ATRI,ATRION Corporation 
AWR,American States Water Company C 
BGS,B&G Foods Inc. B&G Foods Inc. 
BH,Biglari Holdings Inc. 
BIDU,Baidu Inc. 
BIO,Bio-Rad Laboratories Inc. Clas 
BJRI,BJ's Restaurants Inc. 
BMRN,BioMarin Pharmaceutical Inc. 
BRC,Brady Corporation Common 
BRCD,Brocade Communications Systems 
BSFT,BroadSoft Inc. 
BWEN,Broadwind Energy Inc. 
CBPO,China Biologic Products Inc. 
CCO,Clear Channel Outdoor Holdings 
CCOI,Cogent Communications Group In 
CDR,Cedar Realty Trust Inc. Common 
CECO,Career Education Corporation 
CENX,Century Aluminum Company 
CHK,Chesapeake Energy Corporation C 
CLDT,Chatham Lodging Trust (REIT) Co 
CNK,Cinemark Holdings Inc Cinemark  
CNSL,Consolidated Communications Hol 
CRI,Carter's Inc. Common 
CRZO,Carrizo Oil & Gas Inc. 
CSPI,CSP Inc. 
CWT,California Water Service Group  
DAIO,Data I/O Corporation 
DFT,Dupont Fabros Technology Inc.  
DHIL,Diamond Hill Investment Group  
DNR,Denbury Resources Inc. ( Holdi 
EME,EMCOR Group Inc. Common 
ENV,Envestnet Inc Common 
ERIE,Erie Indemnity Company 
ESCA,Escalade Incorporated 
FCH,FelCor Lodging Trust Incorporat 
FIG,Fortress Investment Group LLC C 
FIX,Comfort Systems USA Inc. Commo 
FNGN,Financial Engines Inc. 
FPO,First Potomac Realty Trust Comm 
GASS,StealthGas Inc. 
GERN,Geron Corporation 
GIFI,Gulf Island Fabrication Inc. 
GLBZ,Glen Burnie Bancorp 
GPS,Gap Inc. (The) Common 
INFI,Infinity Pharmaceuticals Inc. 
INOD,Innodata Inc. 
INSM,Insmed Inc. 
INTU,Intuit Inc. 
IRDM,Iridium Communications Inc 
IRM,Iron Mountain Incorporated (Del 
ISLE,Isle of Capri Casinos Inc. 
JAKK,JAKKS Pacific Inc. 
JWN,Nordstrom Inc. Common 
KOP,Koppers Holdings Inc. Koppers H 
KSS,Kohl's Corporation Common 
KW,Kennedy-Wilson Holdings Inc. Co 
LAWS,Lawson Products Inc. 
LGND,Ligand Pharmaceuticals Incorpor 
LNT,Alliant Energy Corporation Comm 
LUK,Leucadia National Corporation C 
LYV,Live Nation Entertainment Inc. 
MAIN,Main Street Capital Corporation 
MCS,Marcus Corporation (The) Common 
MELI,MercadoLibre Inc. 
MGEE,MGE Energy Inc. 
MITL,Mitel Networks Corporation 
MLP,Maui Land & Pineapple Company  
MSA,Mine Safety Appliances Company  
MTZ,MasTec Inc. Common 
NATR,Nature's Sunshine Products Inc 
NCMI,National CineMedia Inc. 
NKSH,National Bankshares Inc. 
OGE,OGE Energy Corporation Common S 
OGXI,OncoGenex Pharmaceuticals Inc. 
PDCO,Patterson Companies Inc. 
PEB,Pebblebrook Hotel Trust Common  
PEGA,Pegasystems Inc. 
PEI,Pennsylvania Real Estate Invest 
RBCN,Rubicon Technology Inc. 
RLH,Red Lions Hotels Corporation Co 
ROIAK,Radio One Inc. 
RTIX,RTI Biologics Inc. 
RWT,Redwood Trust Inc. Common Stoc 
SAFM,Sanderson Farms Inc. 
SB,Safe Bulkers Inc Common 
SBRA,Sabra Healthcare REIT Inc. 
SDRL,Seadrill Limited Ordinary Share 
SEB,Seaboard Corporation Common Sto 
SEM,Select Medical Holdings Corpora 
SEMG,Semgroup Corporation Class A Co 
SFUN,SouFun Holdings Limited America 
SGC,Superior Uniform Group Inc. 
SGY,Stone Energy Corporation Common 
SHLD,Sears Holdings Corporation 
SPAR,Spartan Motors Inc. 
SPNC,The Spectranetics Corporation 
STWD,STARWOOD PROPERTY TRUST INC. S 
SUMR,Summer Infant Inc. 
SWN,Southwestern Energy Company Com 
TFX,Teleflex Incorporated Common St 
TGP,Teekay LNG Partners L.P. 
TK,Teekay Corporation Common 
TNK,Teekay Tankers Ltd. 
TOO,Teekay Offshore Partners L.P. C 
TORM,TOR Minerals International Inc 
TTC,Toro Company (The) Common 
TWI,Titan International Inc. Commo 
UNT,Unit Corporation Common 
VICR,Vicor Corporation 
VSEC,VSE Corporation 
WINA,Winmark Corporation 
WMAR,West Marine Inc. 
WPC,W.P. Carey & Co. LLC Common Sto 
ZBRA,Zebra Technologies Corporation 
ACHC, Acadia Healthcare Company  Inc. 
AL, Air Lease Corporation Class A C 
AMCX, AMC Networks Inc. 
AVHI, A V Homes  Inc. 
DYN, Dynegy Inc. Common 
GTLS, Chart Industries  Inc. 
GXP, Great Plains Energy Incorporate 
HEES, H&E Equipment Services  Inc. 
HF, HFF  Inc. Common 
HHC, Howard Hughes Corporation (The) 
HHS, Harte-Hanks  Inc. Common 
HL, Hecla Mining Company Common Sto 
HLF, Herbalife Ltd. Common 
HRL, Hormel Foods Corporation Common 
HTGC, Hercules Technology Growth Capi 
HURN, Huron Consulting Group Inc. 
IART, Integra LifeSciences Holdings C 
ICPT, Intercept Pharmaceuticals  Inc. 
IDA, IDACORP  Inc. Common 
IDCC, InterDigital  Inc. 
IMAX, Imax Corporation Common 
INN, Summit Hotel Properties  Inc. C 
INVN, InvenSense  Inc. Common 
INWK, InnerWorkings  Inc. 
LKQ, LKQ Corporation 
MEMP, Memorial Production Partners LP 
PACD, Pacific Drilling S.A. Common Sh 
RGLS, Regulus Therapeutics Inc. 
SGYP, Synergy Pharmaceuticals  Inc. 
SMLP, Summit Midstream Partners  LP C 
SSFN, Stewardship Financial Corp 
SYRG, Synergy Resources Corporation C 
TATT, TAT Technologies Ltd. 
VAC, Marriot Vacations Worldwide Cor 
WAGE, WageWorks  Inc. Common 
WIFI, Boingo Wireless  Inc. 
WPX, WPX Energy  Inc. Common 
TXMD,TherapeuticsMD Inc. 
SFM,Sprouts Farmers Market Inc. 
RMAX,RE/MAX Holdings Inc. 
PF,Pinnacle Foods Inc. 
OVAS,OvaScience Inc. 
OLED,Universal Display Corp. 
MDXG,MiMedx Group Inc. 
LDOS,Leidos Holdings Inc. 
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc. 
HMHC,HMH Holdings (Delaware) Inc. 
FPRX,Five Prime Therapeutics Inc. 
ESPR,Esperion Therapeutics Inc. 
ERA,Era Group Inc. 
CQH,Cheniere Energy Partners LP Holdings LLC 
COMM,CommScope Holding Company Inc. 
CACQ,Caesars Acquisition Company 
BNFT,Benefitfocus Inc. 
AMH,American Homes 4 Rent 
AAOI,Applied Optoelectronics Inc. 
WBAI,500.com Limited 
ALQA,Alliqua Inc. 
CBPX,Continental Building Products Inc. 
LADR,Ladder Capital Corp 
LJPC,La Jolla Pharmaceutical Co. 
SCAI,Surgical Care Affiliates  Inc. 
TWOU,2U Inc. 
ZOES,Zoe's Kitchen Inc. 
CNV,Cnova N.V.
CVEO,Civeo Corporation Common
EFOI,Energy Focus Inc.
LMRK,Landmark Infrastructure Partner
NVRO,Nevro Corp. Common
OEC,Orion Engineered Carbons S.A Co
ORPN,Bio Blast Pharma Ltd.
PE,Parsley Energy Inc. Class A Co
PRTK,Paratek Pharmaceuticals Inc. 
RDUS,Radius Health Inc.
SAGE,Sage Therapeutics Inc.
SERV,ServiceMaster Global Holdings 
SHLX,Shell Midstream Partners L.P. 
SNC,State National Companies Inc.
STOR,STORE Capital Corporation Commo
WK,Workiva Inc. Class A Common Sto
ASPN,Aspen Aerogels Inc. Common Sto
