ABR,Arbor Realty Trust Common 
ADAT,Authentidate Holding Corp. 
AE,Adams Resources & Energy Inc.  
AEE,Ameren Corporation Common 
AEGR,Aegerion Pharmaceuticals Inc. 
AES,The AES Corporation Common Stoc 
AINV,Apollo Investment Corporation 
AIRT,Air T Inc. 
AOI,Alliance One International Inc 
ASEI,American Science and Engineerin 
ATRI,ATRION Corporation 
BBX,BankAtlantic Bancorp Inc. New  
BCPC,Balchem Corporation 
BH,Biglari Holdings Inc. 
BPL,Buckeye Partners L.P. Common St 
BRT,BRT Realty Trust Common 
CASC,Cascadian Therapeutics, Inc.
CCC,Calgon Carbon Corporation Commo 
CGI,Celadon Group Inc. Common Stoc 
CIA,Citizens Inc. Class A Common S 
CNP,CenterPoint Energy Inc (Holdin 
CNTY,Century Casinos Inc. 
CTSH,Cognizant Technology Solutions  
CTWS,Connecticut Water Service Inc. 
CVR,Chicago Rivet & Machine Co. Com 
CXDC,China XD Plastics Company Limit 
CYAN,Cyanotech Corporation 
DCTH,Delcath Systems Inc. 
DJCO,Daily Journal Corp. (S.C.) 
DVAX,Dynavax Technologies Corporatio 
DWA,Dreamworks Animation SKG Inc. 
ESGR,Enstar Group Limited 
FBSS,Fauquier Bankshares Inc. 
GIGM,GigaMedia Limited 
GNVC,GenVec Inc. 
JAX,J. Alexander's Corporation 
KRO,Kronos Worldwide Inc Common Sto 
LTS,Ladenburg Thalmann Financial Se 
MEG,Media General Inc. Class A Com 
MG,Mistras Group Inc Common 
MHGC,Morgans Hotel Group Co. 
MLP,Maui Land & Pineapple Company  
MTSL,MER Telemanagement Solutions Lt 
NATH,Nathan's Famous Inc. 
NHC,National HealthCare Corporation 
NHI,National Health Investors Inc. 
NIHD,NII Holdings Inc. 
NL,NL Industries Inc. Common Stoc 
OB,OneBeacon Insurance Group Ltd. 
ONE,Higher One Holdings Inc. Commo 
PESI,Perma-Fix Environmental Service 
PFBI,Premier Financial Bancorp Inc. 
PHII,PHI Inc. 
PHX,Panhandle Oil and Gas Inc Commo 
PKOH,Park-Ohio Holdings Corp. 
PLPC,Preformed Line Products Company 
PNRG,PrimeEnergy Corporation 
POPE,Pope Resources 
QCCO,QC Holdings Inc. 
RAS,RAIT Financial Trust New Common 
RBCN,Rubicon Technology Inc. 
SFUN,SouFun Holdings Limited America 
SGMS,Scientific Games Corp 
SHEN,Shenandoah Telecommunications C 
SJI,South Jersey Industries Inc. C 
SNH,Senior Housing Properties Trust 
SSP,E.W. Scripps Company (The) Comm 
STON,StoneMor Partners L.P. Common U 
TDS,Telephone and Data Systems Inc 
TLF,Tandy Leather Factory Inc. 
TLP,Transmontaigne Partners L.P. Tr 
TWIN,Twin Disc Incorporated 
UCBA,United Community Bancorp 
USM,United States Cellular Corporat 
VHI,Valhi Inc. Common 
WMS,WMS Industries Inc. Common Stoc 
WY,Weyerhaeuser Company Common Sto 
XRAY,DENTSPLY International Inc. 
AMTG, Apollo Residential Mortgage  In 
GTXI, GTx  Inc. 
HALL, Hallmark Financial Services  In 
HDNG, Hardinge  Inc. 
HHS, Harte-Hanks  Inc. Common 
HMSY, HMS Holdings Corp 
HNRG, Hallador Energy Company 
IBOC, International Bancshares Corpor 
IEC, IEC Electronics Corp. Common St 
IESC, Integrated Electrical Services  
IHC, Independence Holding Company Co 
LMCA, Liberty Media Corporation 
SKUL, Skullcandy  Inc. 
XBKS, Xenith Bankshares  Inc. 
SXE,Southcross Energy Partners L.P. 
SPHS,Sophiris Bio Inc. 
SAMG,Silvercrest Asset Management Group Inc. 
RLYP,Relypsa Inc. 
PEGI,Pattern Energy Group Inc. 
OCIP,OCI Partners LP 
OAKS,Five Oaks Investment Corp. 
HGSH,China HGS Real Estate Inc. 
HMTV,Hemisphere Media Group Inc. 
FATE,Fate Therapeutics Inc. 
CVT,Cvent Inc. 
CST,CST Brands Inc. 
BPY,Brookfield Property Partners L.P. 
ATOS,Atossa Genetics Inc. 
WLH,William Lyon Homes 
ZFC,ZAIS Financial Corp. 
HRTX,Heron Therapeutics Inc. 
IBP,Installed Building Products Inc. 
LJPC,La Jolla Pharmaceutical Co. 
NYRT,New York REIT Inc. 
OFS,OFS Capital Corporation 
SC,Santander Consumer USA Holdings Inc. 
WHF,WhiteHorse Finance  Inc. 
XXII,22nd Century Group Inc. 
FELP,Foresight Energy LP Common Unit
LBRDA,Liberty Broadband Corporation
NDRM,NeuroDerm Ltd.
QVCA,Liberty Interactive Corporation
ROKA,Roka Bioscience Inc.
VA,Virgin America Inc.
CAPN,Capnia Inc.
CAPL,CrossAmerica Partners LP Common
ATRA,Atara Biotherapeutics Inc.
AMTX,Aemetis Inc
AFMD,Affimed N.V.
ABY,Abengoa Yield plc
ITEK,Inotek Pharmaceuticals Corporation
XHR,Xenia Hotels & Resorts Inc. Co
MCRB,Seres Therapeutics  Inc.
KHC,The Kraft Heinz Company
CLBS,Caladrius Biosciences  Inc.
NRE,Northstar Realty Europe Corp.
FH,FORM Holdings Corp.
RILY,B. Riley Financial  Inc.
WLTW,Willis Towers Watson Public Limited Company
