FCCO,First Community Corporation 
LVS,Las Vegas Sands Corp. Common St 
MDGN, Medgenics  Inc. Common 
MTG,MGIC Investment Corporation Com 
DIT,AMCON Distributing Company Comm 
AMNB,American National Bankshares I 
AMRB,American River Bankshares 
BANF,BancFirst Corporation 
EBTC,Enterprise Bancorp Inc 
FFIN,First Financial Bankshares Inc 
HIFS, Hingham Institution for Savings 
PLX,Protalix BioTherapeutics Inc.  
TZOO,Travelzoo Inc. 
UBFO, United Security Bancshares 
ANCX,Access National Corporation 
AMD,Advanced Micro Devices Inc. Co 
ASBI,Ameriana Bancorp 
ANFI, Amira Nature Foods Ltd Ordinary 
ANGO,AngioDynamics Inc. 
ASB,Associated Banc-Corp Common Stock
BBT,BB&T Corporation Common 
BX,The Blackstone Group L.P. Commo 
CE,Celanese Corporation Celanese C 
SCHW,Charles Schwab Corporation (The 
CTAS,Cintas Corporation 
COBZ,CoBiz Financial Inc. 
CPSS,Consumer Portfolio Services In 
CYT,Cytec Industries Inc. Common St 
DPZ,Domino's Pizza Inc Common 
EBAY,eBay Inc. 
FCS,Fairchild Semiconductor Interna 
FBRC, FBR & Co 
FCFS,First Cash Financial Services  
FRC,FIRST REPUBLIC BANK Common Stoc 
GOOGL,Google Inc. 
HOMB, Home BancShares  Inc. 
INDB,Independent Bank Corp. 
IIIN, Insteel Industries  Inc. 
KEY,KeyCorp Common 
MTB,M&T Bank Corporation Common Sto 
MAT,Mattel Inc. 
MBFI,MB Financial Inc. 
PBCT,People's United Financial Inc. 
RBCAA,Republic Bancorp Inc. 
RECN,Resources Connection Inc. 
SASR,Sandy Spring Bancorp Inc. 
SLB,Schlumberger N.V. Common 
SHW,Sherwin-Williams Company (The)  
SWI,Solarwinds Inc. Common 
SON,Sonoco Products Company Common  
TENX,Tenax Therapeutics Inc.
TESS,TESSCO Technologies Incorporate 
UNH,UnitedHealth Group Incorporated 
WBS,Webster Financial Corporation C 
CCG,Campus Crest Communities Inc.  
CVLY,Codorus Valley Bancorp Inc 
STLY,Stanley Furniture Company Inc. 
BNK,C1 Financial Inc. Common
COHU,Cohu Inc. 
PM,Philip Morris International Inc 
PPG,PPG Industries Inc. Common Sto 
WNS,WNS (Holdings) Limited Sponsore 
GS,Goldman Sachs Group Inc. (The) 
