ABIO,ARCA biopharma Inc. 
BDSI,BioDelivery Sciences Internatio 
CRMD,CorMedix Inc Common 
EMAN,eMagin Corporation Common 
GMAN,Gordmans Stores Inc. 
GSM,Globe Specialty Metals Inc. 
INS,Intelligent Systems Corporation 
PGR,Progressive Corporation (The) C 
TIF,Tiffany & Co. Common 
TNP,Tsakos Energy Navigation Ltd Co 
HHS, Harte-Hanks  Inc. Common 
AMDA,Amedica Corporation 
CERU,Cerulean Pharma Inc. 
EVAR,Lombard Medical Inc. 
CLBS,Caladrius Biosciences  Inc.
CHMA,Chiasma  Inc.
FH,FORM Holdings Corp.
