APRI,Apricus Biosciences Inc. 
ATEC,Alphatec Holdings Inc. 
AVEO,AVEO Pharmaceuticals Inc. 
AVID,Avid Technology Inc. 
AXR,AMREP Corporation Common 
BSTC,BioSpecifics Technologies Corp 
CASC,Cascadian Therapeutics, Inc.
CIA,Citizens Inc. Class A Common S 
CTWS,Connecticut Water Service Inc. 
CUR,Neuralstem Inc. Common 
CWCO,Consolidated Water Co. Ltd. 
EGAS,Gas Natural Inc. Common 
EGY,Vaalco Energy Inc Common 
ENZ,Enzo Biochem Inc. Common 
EVOL,Evolving Systems Inc. 
INO,Inovio Pharmaceuticals Inc. Co 
IPAR,Inter Parfums Inc. 
IRET,Investors Real Estate Trust 
JMBA,Jamba Inc. 
KNDI,Kandi Technolgies Corp. 
LCUT,Lifetime Brands Inc. 
LMNR,Limoneira Co 
LTBR,Lightbridge Corporation 
NMRX,Numerex Corp. 
OLP,One Liberty Properties Inc. Co 
PPHM,Peregrine Pharmaceuticals Inc. 
RDI,Reading International Inc 
REFR,Research Frontiers Incorporated 
REN,Resolute Energy Corporation Com 
RPRX,Repros Therapeutics Inc. 
RSO,Resource Capital Corp. Resource 
SGMA,SigmaTron International Inc. 
SHIP,Seanergy Maritime Holdings Corp 
STRS,Stratus Properties Inc. 
TWER,Towerstream Corporation 
WYY,WidePoint Corporation Common St 
FAC, First Acceptance Corp 
FEIM, Frequency Electronics  Inc. 
FENG, Phoenix New Media Limited Ameri 
GALT, Galectin Therapeutics Inc. 
GURE, Gulf Resources  Inc. 
HHS, Harte-Hanks  Inc. Common 
KMG, KMG Chemicals  Inc. Common Stoc 
PAR, PAR Technology Corporation Comm 
TLYS, Tilly's  Inc. Common 
STML,Stemline Therapeutics Inc. 
SPCB,SuperCom Ltd. 
QIWI,Qiwi plc 
OCIP,OCI Partners LP 
ELSE,Electro-Sensors Inc. 
ARCX,Arc Logistics Partners LP 
AFH,Atlas Financial Holdings Inc. 
COUP,Coupons.com Incorporated 
LEJU,Leju Holdings Limited 
RXDX,Ignyta Inc. 
CFRX,ContraFect Corporation
CHRS,Coherus BioSciences Inc.
GRBK,Green Brick Partners Inc.
NERV,Minerva Neurosciences Inc
PRTO,Proteon Therapeutics Inc.
QRHC,Quest Resource Holding Corporat
RYI,Ryerson Holding Corporation Com
TSQ,Townsquare Media Inc. Class A 
VCEL,Vericel Corporation
CBMG,Cellular Biomedicine Group Inc
BLCM,Bellicum Pharmaceuticals Inc.
ARDM,Aradigm Corporation
AMPH,Amphastar Pharmaceuticals Inc.
ABAC,Aoxin Tianli Group Inc.
RELY,Real Industry  Inc.
GNRT,Gener8 Maritime Inc.
FBIO,Fortress Biotech  Inc.
CHMA,Chiasma  Inc.
TACO,Del Taco Restaurants  Inc.
ZYNE,Zynerba Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc
GDEN,Golden Entertainment  Inc.
ARLZ,Aralez Pharmaceuticals Inc.
SUNW,Sunworks  Inc.
TPB,Turning Point Brands  Inc.
