ABCD,Cambium Learning Group Inc. 
ABIO,ARCA biopharma Inc. 
AEGR,Aegerion Pharmaceuticals Inc. 
AGN,Allergan Inc. Common 
AMS,American Shared Hospital Servic 
ARCW,Arc Wireless Solutions Inc. 
AVNW,Aviat Networks Inc. 
BDMS,Birner Dental Management Servic 
BRKS,Brooks Automation Inc. 
BXC,Bluelinx Holdings Inc. Common S 
CAAS,China Automotive Systems Inc. 
CARV,Carver Bancorp Inc. 
CCE,Coca-Cola Enterprises Inc. Com 
CELH,CELSIUS HOLDINGS 
CFBK,Central Federal Corporation 
CJJD,China Jo-Jo Drugstores Inc. 
CLFD,Clearfield Inc. 
CLSN,Celsion Corporation 
CPHC,Canterbury Park Holding Corpora 
CTIB,CTI Industries Corporation 
CYAN,Cyanotech Corporation 
DAR,Darling International Inc. Comm 
DCTH,Delcath Systems Inc. 
DDS,Dillard's Inc. Common 
DIS,Walt Disney Company (The) Commo 
DL,China Distance Education Holdin 
DSCI,Derma Sciences Inc. 
DTE,DTE Energy Company Common 
EGT,Entertaining Gaming Asia Incorp 
ENS,Enersys Common 
EQS,Equus Total Return Inc. Common 
ESEA,Euroseas Ltd. 
ESL,Esterline Technologies Corporat 
ESP,Espey Mfg. & Electronics Corp.  
ETRM,EnteroMedics Inc. 
FUNC,First United Corporation 
G,Genpact Limited Common 
GBR,New Concept Energy Inc Common  
GFF,Griffon Corporation Common Stoc 
GPIC,Gaming Partners International C 
JOBS,51job Inc. 
JWN,Nordstrom Inc. Common 
KINS,Kingstone Companies Inc 
KORS,Michael Kors Holdings Limited O 
LGL,LGL Group Inc. (The) Common St 
LIFE,Life Technologies Corporation 
LORL,Loral Space and Communications 
LOV,Spark Networks Inc. Common Sto 
M,Macy's Inc Common 
MFC,Manulife Financial Corporation  
MMS,Maximus Inc. Common 
MSCC,Microsemi Corporation 
NAII,Natural Alternatives Internatio 
NVDA,NVIDIA Corporation 
OCLS,Oculus Innovative Sciences Inc 
OGXI,OncoGenex Pharmaceuticals Inc. 
OPXA,Opexa Therapeutics Inc. 
OSG,Overseas Shipholding Group Inc 
PANL,Universal Display Corporation 
PCYO,Pure Cycle Corporation 
PDEX,Pro-Dex Inc. 
PNK,Pinnacle Entertainment Inc. Co 
PRGO,Perrigo Company 
PRPH,ProPhase Labs Inc. 
PSTI,Pluristem Therapeutics Inc. 
PTX,Pernix Therapeutics Holdings I 
RL,Ralph Lauren Corporation Common 
RSTI,Rofin-Sinar Technologies Inc. 
RTK,Rentech Inc. Common 
SANW,S&W Seed Company 
SCON,Superconductor Technologies Inc 
SINO,Sino-Global Shipping America L 
SODA,SodaStream International Ltd. 
SPH,Suburban Propane Partners L.P. 
SVA,Sinovac Biotech Ltd. 
TEL,TE Connectivity Ltd. New Switze 
TNP,Tsakos Energy Navigation Ltd Co 
ULTR,Ultrapetrol (Bahamas) Limited 
UQM,UQM TECHNOLOGIES INC Common Sto 
URRE,Uranium Resources Inc. 
VRML,Vermillion Inc. 
WVVI,Willamette Valley Vineyards In 
CEMI, Chembio Diagnostics  Inc. 
ESTE, Earthstone Energy  Inc. Common  
FAC, First Acceptance Corp 
FES, Forbes Energy Services Ltd 
GURE, Gulf Resources  Inc. 
HAIN, The Hain Celestial Group  Inc. 
HIMX, Himax Technologies  Inc. 
HRT, Arrhythmia Research Technology  
ICCC, ImmuCell Corporation 
IDN, Intellicheck Mobilisa  Inc. Com 
MANU, Manchester United Ltd. Class A  
MNGA, MagneGas Corporation 
MPO, Midstates Petroleum Company  In 
NAT, Nordic American Tankers Limited 
PRSS, CafePress Inc. 
UNXL, Uni-Pixel  Inc. 
AND,Global X FTSE Andean 40 ETF
TNXP,Tonix Pharmaceuticals Holding Corp 
RIBT,RiceBran Technologies 
PSIX,Power Solutions International Inc. 
ONTX,Onconova Therapeutics Inc. 
OAKS,Five Oaks Investment Corp. 
LXFT,Luxoft Holding Inc. 
JTPY,JetPay Corporation 
ICLD,InterCloud Systems Inc. 
IPWR,Ideal Power Inc. 
GLYC,GlycoMimetics Inc. 
ELSE,Electro-Sensors Inc. 
CSTM,Constellium N.V 
