ticker,name,sector,industry
AEP,American Electric Power Company ,Utilities,Electric Utilities
AAP,Advance Auto Parts Inc Advance  ,Services,Auto Parts Stores
ROST,Ross Stores Inc. ,Services,Apparel Stores
FRED,Fred's Inc. ,Services,Discount Variety Stores
TDJ, Telephone and Data Systems  Inc ,N/A,N/A
AXS,Axis Capital Holdings Limited C ,Financial,Property & Casualty Insurance
CBPO,China Biologic Products Inc. ,Healthcare,Biotechnology
DXJH,WisdomTree Japan Hedged Health,,
GNE, Genie Energy Ltd. Class B Commo ,Basic Materials,Independent Oil & Gas
JACK,Jack In The Box Inc. ,Services,Restaurants
NCMI,National CineMedia Inc. ,Services,Marketing Services
PLOW,Douglas Dynamics Inc. Common S ,Consumer Goods,Auto Parts
SOHO,Sotherly Hotels Inc. ,Financial,REIT - Hotel/Motel
IMAX, Imax Corporation Common ,Services,Entertainment - Diversified
THR, Thermon Group Holdings  Inc. Co ,Industrial Goods,Diversified Machinery
BHL, Blackrock Defined Opportunity C ,N/A,N/A
CVRR,CVR Refining LP ,Basic Materials,Oil & Gas Refining & Marketing
ETM,Entercom Communications Corpora ,Services,Broadcasting - Radio
GTY, Getty Realty Corporation Common ,Financial,REIT - Retail
KYO,Kyocera Corporation Common Stoc ,Technology,Diversified Electronics
NWE,NorthWestern Corporation Common ,Utilities,Diversified Utilities
PZC, PIMCO California Municipal Inco ,N/A,N/A
IPDN,Professional Diversity Network LLC ,Technology,Internet Information Providers
BSRR,Sierra Bancorp ,Financial,Regional - Pacific Banks
DFRG, Del Frisco's Restaurant Group   ,Services,Restaurants
FRAN, Francesca's Holdings Corporatio ,Services,Specialty Retail  Other
HE, Hawaiian Electric Industries  I ,Utilities,Electric Utilities
LGCYO,Legacy Reserves LP,N/A,N/A
NXN, Nuveen New York Select Tax-Free ,Financial,Closed-End Fund - Debt
RALS,ProShares RAFI® Long/Short ETF,Commodity Based ETF,
ANF,Abercrombie & Fitch Company Com ,Services,Apparel Stores
CACC,Credit Acceptance Corporation ,Financial,Credit Services
DOC,Physicians Realty Trust ,Financial,REIT - Healthcare Facilities
GGG,Graco Inc. Common ,Industrial Goods,Diversified Machinery
HMG,HMG/Courtland Properties Inc. ,Financial,REIT - Retail
MDU,MDU Resources Group Inc. Commo ,Industrial Goods,General Building Materials
OME,Omega Protein Corporation Commo ,Consumer Goods,Processed & Packaged Goods
RGC,Regal Entertainment Group Class ,Services,Movie Production Theaters
