ticker,name,sector,industry
WEC,Wisconsin Energy Corporation Co ,Utilities,Electric Utilities
DTE,DTE Energy Company Common ,Utilities,Electric Utilities
FE,FirstEnergy Corporation Common  ,Utilities,Electric Utilities
AEE,Ameren Corporation Common ,Utilities,Diversified Utilities
HCN, Health Care REIT  Inc. Common S ,Financial,REIT - Healthcare Facilities
EXC,Exelon Corporation Common ,Utilities,Diversified Utilities
QTWO,Q2 Holdings Inc. ,Technology,Business Software & Services
LVIN,Hartford Multifactor Low Volati,,
ENSG,The Ensign Group Inc. ,Healthcare,Long-Term Care Facilities
OGS,ONE Gas  Inc. Common Stock ,N/A,N/A
SOYB, Teucrium Soybean Fund ETV ,N/A,N/A
TIVO,TiVo Inc. ,Services,CATV Systems
GSVC, GSV Capital Corp ,N/A,N/A
SIF,SIFCO Industries Inc. Common S ,Industrial Goods,Aerospace/Defense Products & Services
AGO,Assured Guaranty Ltd. Common St ,Financial,Surety & Title Insurance
RWM,ProShares Short Russell2000 ETF,Commodity Based ETF,
EVJ, Eaton Vance New Jersey Municipa ,Financial,Closed-End Fund - Debt
TWM,ProShares UltraShort Russell2000 ETF,Commodity Based ETF,
GJV, Synthetic Fixed-Income Securiti ,N/A,N/A
PMM, Putnam Managed Municipal Income ,Financial,Closed-End Fund - Debt
FMX,Fomento Economico Mexicano S.A. ,Consumer Goods,Beverages - Brewers
KAP, KCAP Financial  Inc. 7.375% Sen ,N/A,N/A
SIFI,SI Financial Group Inc. ,Financial,Savings & Loans
NKG, Nuveen Georgia Dividend Advanta ,Financial,Closed-End Fund - Debt
FTRPR,Frontier Communications Corporation,N/A,N/A
FUTY,Fidelity MSCI Utilities Index ETF ,N/A,N/A
HMNY,Helios and Matheson Analytics Inc. ,Technology,Information Technology Services
VXX, iPath S&P 500 VIX Short Term Fu ,N/A,N/A
FN,Fabrinet Ordinary Shares ,Consumer Goods,Electronic Equipment
ZBIO,ProShares UltraPro Short NASDAQ,,
NXQ, Nuveen Select Tax Free Income P ,Financial,Closed-End Fund - Debt
BIS,ProShares UltraShort Nasdaq Biotechnology ETF,Commodity Based ETF,
BLJ, Blackrock New Jersey Municipal  ,Financial,Closed-End Fund - Debt
MQY, Blackrock MuniYield Quality Fun ,Financial,Closed-End Fund - Debt
AKRX,Akorn Inc. ,Healthcare,Drugs - Generic
WTM,White Mountains Insurance Group ,Financial,Property & Casualty Insurance
VGM, Invesco Van Kampen Trust for In ,N/A,N/A
FLC, Flaherty & Crumrine/Claymore To ,Financial,Closed-End Fund - Debt
BLCM,Bellicum Pharmaceuticals Inc.,Healthcare,Biotechnology
NKX, Nuveen California AMT-Free Muni ,N/A,N/A
BWG, Legg Mason BW Global Income Opp ,N/A,N/A
SRTY,ProShares UltraPro Short Russell2000 ETF,Commodity Based ETF,
DBL, DoubleLine Opportunistic Credit ,N/A,N/A
AVNW,Aviat Networks Inc. ,Technology,Communication Equipment
MX, MagnaChip Semiconductor Corpora ,Technology,Semiconductor - Specialized
EWW,iShares MSCI Mexico Index Fund ETF,Global Equity ETF,
SBM,ProShares Short Basic Materials ETF,Commodity Based ETF,
HIFR,InfraREIT Inc. Common,N/A,N/A
JSYN,Jensyn Acquisition Corp.,N/A,N/A
BSMX, Grupo Financiero Santander Mexi ,Financial,Foreign Regional Banks
PSCU,PowerShares S&P SmallCap Utilities Portfolio ETF,US Equity ETF,
SMLV,SPDR Russell 2000 Low Volatility ETF ,N/A,N/A
XON,Intrexon Corporation ,Healthcare,Biotechnology
NVTR,Nuvectra Corporation,N/A,N/A
ONEY,SPDR Russell 1000 Yield Focus E,,
IDA, IDACORP  Inc. Common ,Utilities,Electric Utilities
BNJ, BlackRock New Jersey Municipal  ,Financial,Closed-End Fund - Debt
CO,China Cord Blood Corporation. C ,Healthcare,Medical Laboratories & Research
PUI,PowerShares Dynamic Utilities ETF,US Equity ETF,
TAIL,Cambria Tail Risk ETF,,
IBMG,iShares iBonds Sep 2018 AMT-Fre ,,
DGICB, Donegal Group  Inc. ,Financial,Property & Casualty Insurance
HYIH,Deutsche X-trackers High Yield,,
MOTI,VanEck Vectors Morningstar Inte,,
TZA, Direxion Small Cap Bear 3X Shar ,N/A,N/A
IDT, IDT Corporation New Preferred S ,Technology,Diversified Communication Services
EBMT,Eagle Bancorp Montana Inc. ,Financial,Regional - Pacific Banks
ACC,American Campus Communities Inc ,Financial,REIT - Residential
UZA, United States Cellular Corporat ,N/A,N/A
MEXX,Direxion Daily MSCI Mexico Bull,,
DPG, Duff & Phelps Global Utility In ,N/A,N/A
KFYP,KraneShares CSI China Five Year Plan ETF ,N/A,N/A
EFC,Ellington Financial LLC Common  ,Financial,Mortgage Investment
DCM,NTT DOCOMO Inc American Deposi ,Technology,Telecom Services - Foreign
UGI,UGI Corporation Common ,Utilities,Diversified Utilities
