ticker,name,sector,industry
AN,AutoNation Inc. Common ,Services,Auto Dealerships
VZ,Verizon Communications Inc. Com ,Technology,Telecom Services - Domestic
NFX,Newfield Exploration Company Co ,Basic Materials,Independent Oil & Gas
BIIB,Biogen Idec Inc. ,Healthcare,Biotechnology
KHC,The Kraft Heinz Company,Consumer Goods,Food - Major Diversified
HSY, The Hershey Company Common Stoc ,Consumer Goods,Confectioners
AIV,Apartment Investment and Manage ,Financial,REIT - Residential
HCP, HCP  Inc. Common ,Financial,REIT - Healthcare Facilities
NXJ, Nuveen New Jersey Dividend Adva ,N/A,N/A
PCY,PowerShares Emerging Markets Sovereign Debt Portfolio ETF,Fixed Income ETF,
QLTA,iShares Aaa - A Rated Corporate Bond ETF,Fixed Income ETF,
TRTN,Triton International Limited,N/A,N/A
WGO,Winnebago Industries Inc. Comm ,Consumer Goods,Recreational Vehicles
ASYS,Amtech Systems Inc. ,Technology,Semiconductor Equipment & Materials
BTT, BlackRock Municipal Target Term ,N/A,N/A
CPAC, Cementos Pacasmayo S.A.A. Ameri ,Industrial Goods,Cement
EBTC,Enterprise Bancorp Inc ,Financial,Savings & Loans
FIXD,First Trust TCW Opportunistic F,,
HBP,Huttig Building Products Inc. ,Services,Building Materials Wholesale
JASO,JA Solar Holdings Co. Ltd. ,Technology,Semiconductor - Specialized
LCI,Lannett Co Inc Common ,Healthcare,Drug Manufacturers - Other
MOH,Molina Healthcare Inc Common St ,Healthcare,Health Care Plans
NAZ, Nuveen Arizona Premium Income M ,Financial,Closed-End Fund - Debt
NMI, Nuveen Municipal Income Fund  I ,Financial,Closed-End Fund - Debt
NSH,Nustar GP Holdings LLC Units ,Basic Materials,Oil & Gas Pipelines
PAG,Penske Automotive Group Inc. C ,Services,Auto Dealerships
PWZ,PowerShares Insured CA Municipal Bond Portfolio ETF,Fixed Income ETF,
SPNS,Sapiens International Corporati ,Technology,Technical & System Software
BLV,Vanguard Long-Term Bond ETF,Fixed Income ETF,
CDNA,CareDx Inc.,Services,Research Services
CORP,PIMCO Investment Grade Corporate Bond Index Fund ETF,Fixed Income ETF,
EDV,Vanguard Extended Duration Treasury ETF,Fixed Income ETF,
FCPT,Four Corners Property Trust  Inc.,N/A,N/A
HR, Healthcare Realty Trust Incorpo ,Financial,REIT - Healthcare Facilities
ITI,Iteris Inc. Common ,Technology,Communication Equipment
NFLT,Virtus Newfleet Multi-Sector Un,,
NXN, Nuveen New York Select Tax-Free ,Financial,Closed-End Fund - Debt
PMBC,Pacific Mercantile Bancorp ,Financial,Regional - Pacific Banks
