ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
ACAT,Arctic Cat Inc. ,Consumer Goods,2015-12-15,17.26,-0.627335548400879,5.01751,26.117,1.37601,5.50405502319336
AEB,AEGON N.V. Perp. Cap. Secs. Flo ,NULL,2015-12-15,23.14,-0.201252266764641,23.651,23.4804,0.263706,1.05482316017151
AED,AEGON N.V. Perp. Cap. Securitie ,NULL,2015-12-15,25.38,-0.141542971134186,18.8068,25.6111,0.235519,0.942075312137604
AEY,ADDvantage Technologies Group  ,Services,2015-12-15,1.78,-0.0831539779901505,31.0431,20.5616,0.111233,0.444932550191879
AFCB,Athens Bancshares Corporation ,Financial,2015-12-15,24.31,-1.24729779362679,72.6575,11.4963,1.40701,5.62804174423218
ALIM,Alimera Sciences Inc. ,Healthcare,2015-12-15,2.27,-0.167424559593201,22.358,22.8135,0.25443,1.0177184343338
ANH,Anworth Mortgage Asset Corporat ,Financial,2015-12-15,4.37,-0.0453200340270996,8.34424,22.1963,0.130031,0.520125329494476
ARYX,ARYX THERAPEUTICS I ,Healthcare,2015-12-15,0.0019,,57.1429,12.7311,0.000162281,0.000649122463073581
ASCMA,Ascent Capital Group Inc. ,Services,2015-12-15,16,-0.528409719467163,7.3733,28.2665,1.57832,6.31327486038208
ASH,Ashland Inc. (NEW) Common ,Basic Materials,2015-12-15,102.79,-1.73979592323303,3.06518,27.9194,3.37792,13.5116958618164
AT,Atlantic Power Corporation Ordi ,Utilities,2015-12-15,1.68,-0.0533464550971985,18.4595,24.5438,0.112232,0.448928564786911
AVEO,AVEO Pharmaceuticals Inc. ,Healthcare,2015-12-15,0.95,-0.0392471998929977,13.9153,24.9964,0.0705812,0.282324969768524
BAS,Basic Energy Services Inc. Com ,Basic Materials,2015-12-15,2.4,-0.159946262836456,7.48661,25.4889,0.506418,2.02567076683044
BBGI,Beasley Broadcast Group Inc. ,Services,2015-12-15,3.06,-0.128361493349075,13.3559,29.6172,0.288087,1.1523494720459
BDC,Belden Inc Common ,Industrial Goods,2015-12-15,46.44,-2.13780546188354,3.2352,20.9974,5.54783,22.1913089752197
BEN,Franklin Resources Inc. Common ,Financial,2015-12-15,35.6,-0.998042583465576,5.18693,26.9715,2.05175,8.20699310302734
BH,Biglari Holdings Inc. ,Services,2015-12-15,329.78,-7.21945285797119,7.71202,23.6062,12.672,50.6881484985352
CAAS,China Automotive Systems Inc. ,Consumer Goods,2015-12-15,4.87,-0.201669871807098,11.7667,23.0231,0.305189,1.22075688838959
CIEN,Ciena Corporation ,Technology,2015-12-15,19.35,-1.04714071750641,6.81764,21.692,2.02063,8.08250713348389
CLMT,Calumet Specialty Products Part ,Basic Materials,2015-12-15,20.93,-0.683909893035889,14.5011,24.59,1.63128,6.52512121200562
CMP,Compass Minerals Intl Inc Commo ,Basic Materials,2015-12-15,75.22,-1.68665671348572,5.10253,27.3633,2.71716,10.8686580657959
CR,Crane Company Common ,Industrial Goods,2015-12-15,46.33,-0.772574782371521,5.30474,24.3818,1.79405,7.17620754241943
CRAI,CRA InternationalInc. ,Services,2015-12-15,18.44,-0.517172813415527,3.14074,22.2473,1.47906,5.91624593734741
CRME,Cardiome Pharma Corporation ,Healthcare,2015-12-15,7.63,-0.268496572971344,12.8087,28.1108,0.513173,2.05269122123718
CYTX,Cytori Therapeutics Inc ,Healthcare,2015-12-15,0.25,-0.0193053185939789,10.8796,25.6962,0.037563,0.150251805782318
DISCA,Discovery Communications Inc ,Services,2015-12-15,26.52,-0.749645948410034,7.50534,26.8319,1.55476,6.21905946731567
DISCK,Discovery Communications Inc ,NULL,2015-12-15,25.48,-0.711885869503021,6.69219,29.5444,1.41485,5.6594181060791
DK,Delek US Holdings Inc. Common  ,Basic Materials,2015-12-15,22.45,-0.893871903419495,12.3039,26.8718,1.46846,5.87383794784546
ECA,Encana Corporation ,Basic Materials,2015-12-15,5.51,-0.315937757492065,4.69399,23.7641,0.951708,3.80683135986328
EV,Eaton Vance Corporation Common  ,Financial,2015-12-15,31.5,-0.772605299949646,4.46086,27.1288,1.90033,7.60132074356079
EW,Edwards Lifesciences Corporatio ,Healthcare,2015-12-15,80.03,-19.7075681686401,32.1293,13.6374,23.6948,94.7793121337891
EXFO,EXFO Inc ,NULL,2015-12-15,2.69,-0.126258805394173,30.6233,24.9896,0.228646,0.914583504199982
FELE,Franklin Electric Co. Inc. ,Industrial Goods,2015-12-15,28.32,-0.531334161758423,8.63606,29.5069,1.41722,5.66888999938965
FLOW,Flow International Corporation ,Industrial Goods,2015-12-15,26.7,,7.61495,25.8774,2.13778,8.55111122131348
FNF,Fidelity National Financial In ,Financial,2015-12-15,33.14,-0.609500050544739,7.96527,29.0734,0.892169,3.56867742538452
GGG,Graco Inc. Common ,Industrial Goods,2015-12-15,68.78,-0.861844658851624,8.52069,28.9618,2.01239,8.04956722259521
GHM,Graham Corporation Common ,Industrial Goods,2015-12-15,15.74,-0.394213199615479,13.9604,26.9027,0.618629,2.47451424598694
GIGM,GigaMedia Limited ,Technology,2015-12-15,0.46,-0.0279911793768406,6.40692,28.9583,0.0632435,0.252973943948746
GLAD,Gladstone Capital Corporation ,Financial,2015-12-15,7.01,-0.302840948104858,14.9465,13.5353,0.543267,2.17306661605835
GLDD,Great Lakes Dredge & Dock Corpo ,Industrial Goods,2015-12-15,3.68,-0.150108620524406,10.0818,28.7474,0.246705,0.986818671226501
IND,ING Group N.V. Perpetual Debt  ,NULL,2015-12-15,25.51,-0.160813808441162,6.21041,29.5119,0.314567,1.25826716423035
IR,Ingersoll-Rand plc (Ireland) ,Industrial Goods,2015-12-15,53.5,-0.642390370368958,7.16567,27.4087,1.72093,6.88373756408691
ITT,ITT Corporation Common ,Industrial Goods,2015-12-15,35.44,-0.54538905620575,9.66454,28.8102,1.21575,4.86298322677612
KMT,Kennametal Inc. Common ,Industrial Goods,2015-12-15,20.71,-1.1435329914093,10.0772,19.3347,1.74153,6.96612548828125
LDR,Landauer Inc. Common ,Technology,2015-12-15,30.8,-1.70142138004303,9.92436,17.0034,2.17938,8.71753597259521
LM,Legg Mason Inc. Common ,Financial,2015-12-15,38.71,-0.904128789901733,7.59884,29.4938,1.89452,7.57807016372681
LMIA,LMI Aerospace Inc. ,Industrial Goods,2015-12-15,9.35,-0.103689223527908,3.47935,25.4337,0.336435,1.34573805332184
LTRE,Learning Tree International In ,Services,2015-12-15,0.82,-0.0619027242064476,15.692,11.3073,0.0921228,0.36849120259285
MCY,Mercury General Corporation Com ,Financial,2015-12-15,47.6,-0.73177182674408,2.80487,26.6365,1.321,5.28399705886841
MDP,Meredith Corporation Common Sto ,Services,2015-12-15,40.36,-1.24536752700806,22.3038,29.3594,1.52347,6.09389162063599
MERC,Mercer International Inc. ,Consumer Goods,2015-12-15,8.95,-0.194236576557159,10.1345,27.4935,0.604865,2.41945934295654
MFA,MFA Financial Inc. ,Financial,2015-12-15,6.52,-0.0692543983459473,18.3241,29.8978,0.128589,0.514357924461365
MPX,Marine Products Corporation Com ,Consumer Goods,2015-12-15,6.17,-0.164864212274551,15.8342,25.9196,0.295176,1.18070209026337
MSM,MSC Industrial Direct Company  ,Services,2015-12-15,56.88,-0.678868532180786,12.2436,27.2579,1.35397,5.41587734222412
MTX,Minerals Technologies Inc. Comm ,Basic Materials,2015-12-15,50.63,-1.60332560539246,7.63844,24.6486,3.08016,12.3206481933594
MVC,MVC Capital Inc. Common ,Financial,2015-12-15,7.34,-0.174540966749191,3.44261,22.4011,0.293464,1.17385530471802
NDSN,Nordson Corporation ,Industrial Goods,2015-12-15,63.6,-1.62565422058105,7.56033,25.6826,2.8239,11.2955856323242
NEPT,Neptune Technologies &amp; Bioresou ,NULL,2015-12-15,0.99,-0.0351124405860901,19.3718,29.6404,0.0493871,0.197548434138298
NEWS,NewStar Financial Inc. ,Financial,2015-12-15,8.05,-0.230897188186646,6.00625,26.5223,0.566151,2.26460599899292
PERF,Perfumania Holdings Inc ,Services,2015-12-15,2.86,-0.121416717767715,6.61494,16.988,0.206022,0.824086308479309
PHMD,PhotoMedex Inc. ,Healthcare,2015-12-15,0.3,-0.0134418457746506,3.80952,26.7168,0.0449038,0.179615125060081
PLX,Protalix BioTherapeutics Inc.  ,Healthcare,2015-12-15,0.79,-0.0314307361841202,9.39731,25.8295,0.0895672,0.358268886804581
PRXI,Premier Exhibitions Inc. ,Services,2015-12-15,0.58,-0.0537333786487579,5.83121,21.4078,0.179984,0.719935357570648
PZN,Pzena Investment Management Inc ,Financial,2015-12-15,8.4,-0.230837196111679,7.84572,28.1421,0.438458,1.75383126735687
RDN,Radian Group Inc. Common ,Financial,2015-12-15,13.28,-0.103275716304779,13.8398,26.5642,0.342248,1.36899137496948
