ticker,companyname,sector,industry,closeprice,dma10,dma50,dma200
ACY,AeroCentury Corp. Common ,Services,Rental & Leasing Services,18.25,18.266,17.8544,18.7203
AEE,Ameren Corporation Common ,Utilities,Diversified Utilities,41.31,41.177,40.5786,36.869
AERG,APPLIED ENERGETICS ,Technology,Scientific & Technical Instruments,0.03,0.03,0.0246,0.01725
AGRO, Adecoagro S.A. Common Shares ,Consumer Goods,Farm Products,8.92,9.038,8.2432,7.69025
AGX,Argan Inc. Common ,Industrial Goods,Heavy Construction,26.77,27.137,28.3454,23.9466
AHS,AMN Healthcare Services Inc AMN ,Services,Staffing & Outsourcing Services,12.48,12.702,13.6258,14.0337
ALJ,Alon USA Energy Inc. common st ,Basic Materials,Oil & Gas Refining & Marketing,16.29,16.274,15.0356,13.552
ALTV,Alteva Inc. ,Technology,Telecom Services - Domestic,6.05,6.516,7.9742,8.1612
AMPS,iShares Utilities Sector Bond ETF,Fixed Income ETF,,50.33,50.339,49.6772,48.4613
AMU, ETRACS Alerian MLP Index ETN ,N/A,N/A,30.49,30.399,29.5048,28.7299
APA,Apache Corporation Common ,Basic Materials,Independent Oil & Gas,86.8,86.554,82.717,84.9669
APWC,Asia Pacific Wire & Cable Corp. Ltd. ,Industrial Goods,Industrial Electrical Equipment,2.46,2.556,2.8082,3.32995
ASG, Liberty All-Star Growth Fund  I ,N/A,N/A,5.31,5.395,5.4844,5.20715
ATO,Atmos Energy Corporation Common ,Utilities,Gas Utilities,51.04,50.613,47.3642,44.7786
ATRM,Aetrium Incorporated ,Technology,Semiconductor Equipment & Materials,5.1,5.225,5.7328,3.9799
AUXL,Auxilium Pharmaceuticals Inc. ,Healthcare,Drug Related Products,22.51,26.723,28.2514,21.8083
AXR,AMREP Corporation Common ,Financial,Property Management,5.44,5.699,6.6686,7.921
BAMM,Books-A-Million Inc. ,Services,Specialty Retail Other,2.34,2.348,2.3234,2.389
BELFA,Bel Fuse Inc. ,NULL,NULL,20.36,21.053,19.7594,18.6702
BGR, BlackRock Energy and Resources  ,Financial,Closed-End Fund - Equity,25.05,24.955,24.2032,25.1242
BGX, Blackstone GSO Long Short Credi ,N/A,N/A,17.75,17.742,17.6986,18.3379
BKT, BlackRock Income Trust Inc. (Th ,Financial,Closed-End Fund - Debt,6.53,6.54,6.5486,6.5279
BME, Blackrock Health Sciences Trust ,Financial,Closed-End Fund - Equity,35.56,35.981,37.1912,34.7598
BMRC,Bank of Marin Bancorp ,Financial,Regional - Pacific Banks,45.41,45.439,44.7632,43.2626
BOND,PIMCO Total Return Exchange-Traded Fund,Fixed Income ETF,,107.31,107.214,106.8,105.893
BONT,The Bon-Ton Stores Inc. ,Services,Department Stores,11,11.153,10.6786,13.033
BPHX,BluePhoenix Solutions Ltd. ,Technology,Business Software & Services,4.35,4.352,4.3972,4.3766
BRKR,Bruker Corporation ,Technology,Scientific & Technical Instruments,20.66,21.098,22.5222,20.4699
BSDM,BSD Medical Corporation ,Healthcare,Medical Appliances & Equipment,1.11,1.152,1.2516,1.34235
BSJE,Guggenheim BulletShares 2014 High Yield Corporate Bond ETF,Fixed Income ETF,,26.51,26.535,26.5248,26.6398
BSPM,Biostar Pharmaceuticals Inc. ,Healthcare,Drug Manufacturers - Major,1.7,1.81,2.148,1.5879
BTH,Blyth Inc. New Common ,Consumer Goods,Personal Products,9.37,9.46,9.7552,11.1343
BTI,British American Tobacco  Indus ,Consumer Goods,Cigarettes,115.02,115.408,110.307,106.367
BUD,Anheuser-Busch Inbev SA Sponsor ,Consumer Goods,Beverages - Brewers,105.82,109.054,104.843,100.917
BURL,Burlington Stores Inc. ,Services,Discount,25.99,27.392,27.7654,
BVX,Bovie Medical Corporation Commo ,Healthcare,Medical Instruments & Supplies,3.95,4.039,3.5522,2.92885
BWINA, Baldwin & Lyons  Inc. ,N/A,N/A,23.76,23.993,24.044,24.3412
BWINB,Baldwin & Lyons Inc. ,Financial,Property & Casualty Insurance,26.01,26.071,25.8662,25.7404
BWP,Boardwalk Pipeline Partners LP  ,Basic Materials,Oil & Gas Pipelines,15.97,15.993,13.7474,24.2514
CEB, Corporate Executive Board Compa ,Services,Management Services,69.02,70.151,73.4726,72.1869
CENTA,Central Garden &amp; Pet Company ,NULL,NULL,8.27,8.316,7.9538,7.19295
CFI,Culp Inc. Common ,Industrial Goods,Textile Industrial,18.05,18.573,19.3696,19.3741
CG, The Carlyle Group L.P. ,Financial,Asset Management,32.08,33.93,34.3384,31.5066
CHK,Chesapeake Energy Corporation C ,Basic Materials,Independent Oil & Gas,28.75,28.627,26.3644,26.0933
CHLN,China Housing & Land Developmen ,Financial,Real Estate Development,2.25,2.306,2.2514,2.3497
CIK, Credit Suisse Asset Management  ,Financial,Closed-End Fund - Debt,3.65,3.649,3.623,3.6173
CLS,Celestica Inc. Common ,Technology,Printed Circuit Boards,11.1,11.02,10.3422,10.4228
CMGE,China Mobile Games and Entertainment Group Limited ,Technology,Multimedia & Graphics Software,17.03,18.411,25.526,20.6012
CNY, Market Vectors Chinese Renminbi ,N/A,N/A,41.92,42.126,42.0334,42.4152
CONN,Conn's Inc. ,Services,Electronics Stores,44.23,44.987,38.3348,56.6537
CPHC,Canterbury Park Holding Corpora ,Services,Gaming Activities,11.17,11.104,10.7674,10.7718
CPT,Camden Property Trust Common St ,Financial,REIT - Residential,68.49,68.302,67.0376,64.0978
CRDS, Crossroads Systems  Inc. ,Technology,Networking & Communication Devices,2.12,2.212,2.4152,1.9089
CSIQ,Canadian Solar Inc. ,Technology,Semiconductor - Specialized,27.12,28.163,33.1968,26.4911
CTB,Cooper Tire & Rubber Company Co ,Consumer Goods,Rubber & Plastics,25.15,25.337,24.2978,26.5992
CUBA, The Herzfeld Caribbean Basin Fu ,Financial,Closed-End Fund - Foreign,8.02,8.064,8.0358,8.4258
CVCY, Central Valley Community Bancor ,Financial,Regional - Pacific Banks,11.51,11.615,11.5908,10.7624
CVLY,Codorus Valley Bancorp Inc ,Financial,Regional - Northeast Banks,21.35,21.456,21.2044,19.8089
CVS,CVS Caremark Corporation Common ,Services,Drug Stores,72.72,73.376,73.389,65.9065
CYCCP,Cyclacel Pharmaceuticals Inc. ,N/A,N/A,8.59,9.352,8.7896,7.8714
CYTXW, Cytori Therapeutics Inc ,N/A,N/A,0.63,0.694,0.8938,0.8025
CZWI,Citizens Community Bancorp Inc ,Financial,Regional - Midwest Banks,7.98,8.016,8.0722,7.64725
DBP, PowerShares DB Precious Metals  ,N/A,N/A,41.32,41.525,42.6242,42.4695
DBS, PowerShares DB Silver Fund ,N/A,N/A,31.72,32.261,33.8894,34.8554
DDG,ProShares Short Oil & Gas ETF,Commodity Based ETF,,22.48,22.809,24.012,25.4988
DFZ,R.G. Barry Corporation ,Consumer Goods,Textile - Apparel Footwear & Accessories,18.28,18.439,18.617,18.3831
DHT,DHT Holdings Inc. ,Services,Shipping,7.81,7.845,7.8658,6.09995
DISCB,Discovery Communications Inc. ,N/A,N/A,75.12,76.335,82.439,82.643
DJCI, UBS AG Linked to the Dow Jones- ,N/A,N/A,25.63,25.629,25.1584,24.0103
DJP, iPath Dow Jones UBS Commodity I ,N/A,N/A,40.52,40.461,39.701,37.8079
DLB,Dolby Laboratories Common ,Technology,Diversified Electronics,39.85,43.202,43.3324,37.7704
DLNG,Dynagas LNG Partners LP ,Services,Shipping,21.81,21.826,21.8036,
DRC,Dresser-Rand Group Inc. Common  ,Industrial Goods,Diversified Machinery,60.44,60.443,57.3744,59.4062
DRR, Market Vectors Double Short Eur ,N/A,N/A,37.71,37.999,38.1852,39.7895
DTK, Deutsche Bk Contingent Cap Tr I ,N/A,N/A,27.5,27.481,26.882,26.4109
DTYS, iPath US Treasury 10 Yr Bear ET ,N/A,N/A,28.75,29.313,29.292,30.5285
DVA,DaVita Inc. Common ,Healthcare,Specialized Health Services,69.3,69.444,68.5454,71.6788
EDUC,Educational Development Corpora ,Services,Wholesale Other,3.8,3.82,3.7432,3.2389
EIA, Eaton Vance California Municipa ,Financial,Closed-End Fund - Debt,11.98,11.949,11.6428,11.0684
EIV, Eaton Vance Municipal Bond Fund ,Financial,Closed-End Fund - Debt,12.1,12.054,11.7168,11.0768
ELSE,Electro-Sensors Inc. ,Technology,Scientific & Technical Instruments,3.93,3.957,3.9864,4.0783
EMXX, Eurasian Minerals Inc Common Sh ,Basic Materials,Industrial Metals & Minerals,0.97,1.008,1.0424,1.12055
EPR,Entertainment Properties Trust  ,Financial,REIT - Retail,53.61,54.088,53.346,51.0194
ERX, Direxion Energy Bull 3X Shares ,N/A,N/A,106.27,104.772,91.1914,81.8418
ETH,Ethan Allen Interiors Inc. Comm ,Consumer Goods,Home Furnishings & Fixtures,24.28,25.019,24.9062,27.1593
ETR,Entergy Corporation Common Stoc ,Utilities,Electric Utilities,72.5,71.786,67.0428,64.8999
EUO,ProShares UltraShort Euro ETF,Commodity Based ETF,,16.69,16.792,16.8648,17.549
EVEP,EV Energy Partners L.P. ,Basic Materials,Oil & Gas Drilling & Exploration,36.07,36.397,34.555,35.8054
EWSS,iShares MSCI Singapore Small Cap Fund,Global Equity ETF,,28.28,28.149,27.1218,27.9202
EXAM,ExamWorks Group Inc. Common St ,Services,Business Services,36.8,37.075,34.9956,28.8582
EZPW,EZCORP Inc. ,Services,Specialty Retail Other,10.43,10.991,11.7118,13.8254
FALC,FalconStor Software Inc. ,Technology,Application Software,1.52,1.558,1.572,1.36695
FAM, First Trust/Aberdeen Global Opp ,N/A,N/A,14.23,14.206,13.8962,14.1592
FARM,Farmer Brothers Company ,Consumer Goods,Processed & Packaged Goods,19.71,20.204,20.3768,18.6042
FAZ, Direxion Financial Bear 3X Shar ,N/A,N/A,20.16,20.38,20.462,24.7001
FCAP,First Capital Inc. ,Financial,Savings & Loans,20.78,20.87,20.772,20.5614
FE,FirstEnergy Corporation Common  ,Utilities,Electric Utilities,33.75,33.914,32.6434,34.6854
FISH,Marlin Midstream Partners LP ,Basic Materials,Oil & Gas Pipelines,17.84,18.042,17.953,
FLM,First Trust ISE Global Engineering and Construction Index Fund ETF,Global Equity ETF,,52.22,52.249,51.7152,49.1154
FLOT,iShares Floating Rate Note ETF,Fixed Income ETF,,50.72,50.724,50.6984,50.6754
FLRN, SPDR Barclays Capital Investmen ,N/A,N/A,30.6,30.616,30.6038,30.661
FNLC,First Bancorp Inc (ME) ,Financial,Regional - Northeast Banks,15.93,16.041,16.284,16.9124
FOR, Forestar Group Inc Common ,Financial,Real Estate Development,17.05,17.565,18.2692,20.1873
FORD,Forward Industries Inc. ,Consumer Goods,Textile - Apparel Footwear & Accessories,1.65,1.668,1.6696,1.729
FOXF,Fox Factory Holding Corp ,Consumer Goods,Recreational Vehicles,16.99,17.142,17.338,
FSCE,Fifth Street Finance Corp. ,N/A,N/A,24.5,24.473,24.3706,23.4573
FUN,Cedar Fair L.P. Common ,Services,General Entertainment,51.88,52.252,51.9656,47.5662
GAF,SPDR S&P Emerging Middle East & Africa ETF,Global Equity ETF,,70.11,70.971,68.7062,66.8652
GBDC, Golub Capital BDC  Inc. ,N/A,N/A,16.72,17.024,18.027,17.8913
GCC, GreenHaven Continuous Commodity ,N/A,N/A,28.75,28.694,28.2794,26.723
GCFB,Granite City Food And Brewery L ,Services,Restaurants,1.7,1.691,1.4228,1.5783
GDO, Western Asset Global Corporate  ,N/A,N/A,18.56,18.535,18.2668,17.9781
GILT,Gilat Satellite Networks Ltd. ,Technology,Communication Equipment,4.75,4.818,5.0696,4.93445
GLCH,Gleacher & Company Inc. ,Financial,Asset Management,11.5,11.494,11.3782,12.1091
GLD, SPDR Gold Trust ,N/A,N/A,124.22,124.602,127.053,125.49
GLTR, ETFS Physical Precious Metal Ba ,N/A,N/A,68.94,69.252,70.9682,70.7694
GMFS,SPDR S&amp;P Small Cap Em Asia Pacific ETF,Global Equity ETF,,41.7,42.5,42.2462,42.9631
GORO,Gold Resource Corporation Commo ,Basic Materials,Gold,4.61,4.692,5.1076,5.82745
GPRC,Guanwei Recycling Corp. ,Industrial Goods,Waste Management,2.34,2.519,2.7756,2.4651
GPT,Gramercy Property Trust Inc. ,Financial,REIT - Diversified,5.22,5.307,5.3848,5.02355
GRH,GreenHunter Energy Inc Common s ,Utilities,Electric Utilities,0.94,0.978,1.0112,1.1772
GTWN,Georgetown Bancorp Inc. ,Financial,Savings & Loans,14.85,14.944,14.9096,14.7697
HDS,HD Supply Holdings Inc. ,Services,Industrial Equipment Wholesale,25.78,26.04,24.5202,22.7341
HFBC, HopFed Bancorp  Inc. ,Financial,Savings & Loans,11.4,11.442,11.566,11.2923
HH, Hooper Holmes  Inc. Common Stoc ,Healthcare,Specialized Health Services,0.61,0.62,0.6008,0.5238
HJJ, MS Structured Asset Corp SATURN ,N/A,N/A,24.73,24.7,24.3978,23.7256
HLIT, Harmonic Inc. ,Technology,Communication Equipment,7.03,6.99,6.7564,7.18885
HTGZ, Hercules Technology Growth Capi ,N/A,N/A,25.52,25.57,25.7664,25.6153
HUSA, Houston American Energy Corpora ,Basic Materials,Independent Oil & Gas,0.47,0.478,0.5114,0.35355
HYS,PIMCO 0-5 Year High Yield Corporate Bond Index Fund ETF,Fixed Income ETF,,106.7,106.907,106.786,105.91
IAU, ishares Gold Trust ,N/A,N/A,12.5,12.54,12.785,12.6215
IBIO, iBio  Inc. Common ,Healthcare,Biotechnology,0.45,0.458,0.519,0.458
IDI, SearchMedia Holdings Limited ,Services,Advertising Agencies,0.8,0.886,1.1752,1.32395
IDN, Intellicheck Mobilisa  Inc. Com ,Industrial Goods,Industrial Electrical Equipment,0.68,0.704,0.8592,0.6324
IKAN, Ikanos Communications  Inc. ,Technology,Communication Equipment,0.6,0.817,0.8662,1.13415
IMMY,Imprimis Pharmaceuticals Inc. ,Healthcare,Biotechnology,7.05,7.152,7.4252,5.9143
INFU,InfuSystems Holdings Inc. Comm ,Healthcare,Medical Instruments & Supplies,2.82,2.851,2.7682,2.02705
INTG,The InterGroup Corporation ,Financial,Property Management,17.49,17.952,18.2986,19.168
ITRN,Ituran Location and Control Ltd ,NULL,NULL,23.83,23.916,23.9894,20.6047
ITUB,Itau Unibanco Banco Holding SA  ,Financial,Foreign Money Center Banks,16.36,16.095,14.3522,13.7198
JBN, Select Asset Inc. Select Asset  ,N/A,N/A,16.69,16.798,16.7536,16.323
JEQ, Japan Equity Fund  Inc. (The) C ,N/A,N/A,6.4,6.461,6.469,6.68165
JJC, iPath Dow Jones UBS Copper Tota ,N/A,N/A,36.82,37.23,37.2686,39.2825
JOE,St. Joe Company (The) Common St ,Financial,Real Estate Development,17.85,18.046,18.5658,19.1848
JRI, Nuveen Real Asset Income and Gr ,N/A,N/A,19.03,18.937,18.3716,18.1158
JUNR,Global X Junior Miners ETF,Global Equity ETF,,16.18,16.378,16.627,16.4737
KME,SPDR KBW Mortgage Finance ETF,US Equity ETF,,54.03,54.13,54.8106,53.2131
KOS, Kosmos Energy Ltd. Common Share ,Basic Materials,Independent Oil & Gas,10.92,10.971,10.837,10.6613
KOSS,Koss Corporation ,Consumer Goods,Electronic Equipment,4.64,4.737,4.7504,5.0945
KTN, Structured Products Corp 8.205% ,N/A,N/A,30.1,30.346,30.3672,29.6373
LACO,Lakes Entertainment Inc. ,Services,Resorts & Casinos,4.95,5.021,5.0068,4.3434
LAZ,Lazard LTD. Lazard LTD. Class  ,Financial,Asset Management,47.05,46.866,46.0506,41.2879
LEAF,Springleaf Holdings LLC ,Financial,Credit Services,22.98,23.857,25.362,
LEO, Dreyfus Strategic Municipals  I ,Financial,Closed-End Fund - Debt,8.2,8.189,8.0938,7.849
LGP,Lehigh Gas Partners LP ,Basic Materials,Oil & Gas Refining & Marketing,26.89,27.091,26.7244,27.1847
LINE,Linn Energy LLC ,Basic Materials,Independent Oil & Gas,28.52,28.81,29.6172,28.837
LND,Brasilagro Companhia Brasileira de Propriedades Agr ,Financial,Property Management,4,3.997,3.6962,4.06115
M,Macy's Inc Common ,Services,Department Stores,57.43,57.763,57.8514,51.0475
MEN, Blackrock MuniEnhanced Fund  In ,Financial,Closed-End Fund - Debt,11.27,11.212,10.9482,10.5941
MEP,Midcoast Energy Partners L.P. ,Basic Materials,Independent Oil & Gas,21.88,21.892,20.9056,
MGEE,MGE Energy Inc. ,Utilities,Diversified Utilities,38.22,38.818,38.8644,51.0927
MGF, MFS Government Markets Income T ,Financial,Closed-End Fund - Debt,5.76,5.778,5.7324,5.7016
MHN, Blackrock MuniHoldings New York ,N/A,N/A,13.71,13.645,13.3326,12.8734
